source_id,claim_or_use,publisher,title,publication_date,url,access_date,evidence_type,methodology_or_sample,limitation,week3_use,verified_by
W3-S01,"Mandate, three ERP environments, no major ERP replacement within 18 months, local/service constraints, and Week 4 decision context",Project Northstar — internal working pack,Client brief,2026-08-18,../../../client/CLIENT_BRIEF.md,2026-08-19,ACG-DATA,Supplied project brief,Management statements and objectives are not measured outcomes,Current supplied context,Baker; reproducible output chain
W3-S02,"Data ownership, local autonomy, control, resilience, payment-friction, and service hypotheses",Project Northstar — internal working pack,Stakeholder pack,2026-08-18,../../../client/STAKEHOLDER_PACK.md,2026-08-19,ACG-DATA,Supplied interview excerpts,Perceptions may be inconsistent or biased; stakeholder confidence is not proof,Current supplied context,Baker; reproducible output chain
W3-S03,"Governed definitions, denominators, liquidity screens, and evidence boundaries",Project Northstar — internal working pack,Week 2 metric contract and analysis log,2026-08-18,../week_2/W2_metric_contract.md ; ../week_2/W2_analysis_log.md,2026-08-19,ACG-DATA / ANALYST-CALC,Reproducible Week 2 analytical contract,Reporting date is a proxy; supplied extracts are not certified enterprise populations,Current analytical baseline,Baker; reproducible output chain
W3-S04,F07–F11 fact–implication–action spine and counterevidence,Project Northstar — internal working pack,Week 2 findings log,2026-08-18,../week_2/W2_findings_log.md,2026-08-19,ANALYST-CALC / ANALYST-JUDGMENT,Five promoted findings reconciled to processed outputs,"Causes, mobility, removability, and closability remain unproven",Carried into Week 3,Baker; reproducible output chain
W3-S05,"55 accounts / 9,955 account-days; `$38.13m` 14-day screen; 7,600 payments; 2,839-record priority union; independent capacity baselines; four closure candidates",Project Northstar — internal working pack,Week 2 processed outputs,2026-08-18,../../../data/processed/,2026-08-19,ANALYST-CALC,Generated by `src/week2_diagnostic.py`; tested by `tests/test_week2_diagnostic.py`,"Results retain dataset, period, proxy, and interpretation limits",Reconciled baseline,Baker; reproducible output chain
W3-S06,"Federated `87`, local `72`, global `60`; federated leads five plausible sensitivities; all execution-evidence gates open",Project Northstar — internal working pack,Strategic-options narrative and option outputs,2026-08-18,W3_strategic_options.md ; ../../../data/processed/W3_option_summary.csv,2026-08-19,ANALYST-JUDGMENT,Criteria and weights locked before score review; generated by `src/week3_strategy.py`,"Scores do not measure value, confidence, cost, or observed readiness",Current design comparison,Baker; reproducible output chain
W3-S07,"Federated decision chain, proposed roles, 19 controls, service/local-right and rollback gates",Project Northstar — internal working pack,"Future-state operating model, process/RACI, and control inventory",2026-08-18,W3_future_state_operating_model.md ; W3_future_state_process_map_and_RACI.md ; W3_control_inventory.csv,2026-08-19,ANALYST-JUDGMENT,Design traced to Week 2 findings and client constraints,"Owners, controls, thresholds, legal/tax/cyber conclusions, and service levels are not client-approved",Proposed design only,Baker; reproducible output chain
W3-S08,"Ten-account frame, 5 Spreadsheet / 5 Portal, three regions, three ERPs, four banks; all require review and `AC0040` is enhanced-review/shadow-only",Project Northstar — internal working pack,Visibility charter and candidate frame,2026-08-18,W3_visibility_pilot_charter.md ; ../../../data/processed/W3_visibility_pilot_candidates.csv,2026-08-19,ANALYST-CALC / ANALYST-JUDGMENT,Deterministic visibility v2 selection from supplied records,"Purposive frame; no launch readiness, causal result, or mobility evidence",Design-only frame,Baker; reproducible output chain
W3-S09,120 records; four cohorts; per cohort 8 exception/status + 7 late-only + 15 `Completed` controls; 50 exact and 10 documented deviations,Project Northstar — internal working pack,Payment charter and sample frame,2026-08-18,W3_payment_pilot_charter.md ; ../../../data/processed/W3_payment_sample_frame.csv,2026-08-19,ANALYST-CALC / ANALYST-JUDGMENT,Deterministic payment v3 selection and matching,"Purposive diagnosis; not prevalence, causality, settlement certification, or enterprise benefit evidence",Design-only frame,Baker; reproducible output chain
W3-S10,Zero recognized cash/P&L/capacity value; risk `NOT QUANTIFIED`; costs and ROI/NPV/payback unavailable,Project Northstar — internal working pack,"Validation case, value ledger, and cost requirements",2026-08-18,W3_business_case.md ; ../../../data/processed/W3_business_case_value_ledger.csv ; ../../../data/processed/W3_cost_evidence_requirements.csv,2026-08-19,ANALYST-CALC / ANALYST-ASSUMPTION,Reproducible non-additive scenario and evidence-gate model,"Diagnostic quantities are not benefits; actual cost, ramp, attribution, and realization evidence are missing",Validation case only,Baker; reproducible output chain
W3-S11,Start-of-week `$1.0–$1.5m` FY2026 initial transformation ceiling and controlled module status,Project Northstar — internal working pack,Week 3 workplan and analysis log,2026-08-18,W3_workplan.md ; W3_analysis_log.md,2026-08-19,ACG-DATA / ANALYST-JUDGMENT,Recorded client constraint and analyst work record,"The amount is not a cost estimate, approved budget, spend authority, committed funding, or ROI denominator",Current constraint; approval not inferred,Baker; reproducible output chain
S01,Automation-adoption context only,J.P. Morgan Payments,Payments Outlook: Five Trends Powering Payments in 2026,2026-04-23,https://www.jpmorgan.com/insights/payments/trends-innovation/payments-outlook-trends-2026,2026-08-02,JPM-PUBLIC,ASUG/J.P. Morgan survey; n=107,Small SAP-oriented survey; not used to score an option or prove an ACG outcome,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page/PDF
S02,Visibility/treasury-network context only,J.P. Morgan Payments,Fortescue's Global Treasury Transformation,2026-06-19,https://www.jpmorgan.com/insights/treasury/liquidity-management/fortescue-global-treasury-transformation,2026-08-02,JPM-PUBLIC,Named client success story,Sponsor-published client story; no ACG mobility or economics inference,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page
S03,Acquisition/account-rationalization context only,J.P. Morgan Payments,Ansys transforms treasury through centralized liquidity solution,2024-08-20,https://www.jpmorgan.com/insights/treasury/liquidity-management/emea-treasury-transformation-ansys,2026-08-02,JPM-PUBLIC,Named client success story,Different context; not proof that any ACG account can close,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page
S04,Local-market and ERP-integration context only,J.P. Morgan Payments,Mettler-Toledo's Treasury Transformation in China,2025-07-22,https://www.jpmorgan.com/insights/treasury/treasury-management/mettler-toledo-china-treasury-transformation,2026-08-02,JPM-PUBLIC,Named client success story,Market-specific sponsor-published outcome; not transferable to ACG capacity or benefit,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page
S05,Structured-data context only,J.P. Morgan,ISO 20022 Migration: The journey to faster payments automation,n.d.,https://www.jpmorgan.com/insights/treasury/treasury-management/what-is-iso-20022,2026-08-02,JPM-PUBLIC,Official explainer,No Week 3 product or ISO recommendation; standards do not repair source ownership,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page
S06,Narrative comparison context only,J.P. Morgan Payments,Payments Client Success Stories,n.d.,https://www.jpmorgan.com/payments/client-stories,2026-08-02,JPM-PUBLIC,Official client-story collection,Curated marketing evidence with selection bias; no promoted Week 3 finding depends on it,Carried from the Week 2 source log; context only in Week 3,Analyst; official indexed page
S07,"Dashboard terminology, drill-down, ownership, and monitoring design inspiration only",Informatica,The Dimensions of Data Quality,n.d.,https://www.informatica.com/blogs/the-importance-of-high-quality-data-requires-constant-vigilance-dimensions-of-data-quality.html,2026-08-18,PUBLIC-CONTEXT,Vendor-authored explanatory article; no sample or study,"Vendor-authored explanatory article; no ACG data, baseline, counterfactual, score, or outcome; not used in the Week 3 option or value model","Mentor-provided; informed dashboard design only, not the option or value model",Analyst; public vendor blog
