account_id,entity_id,entity_name,region,country,bank_name,currency,purpose,status,account_age_years,visibility_method,sweep_structure,erp_system,acquisition_origin,cash_restriction_level,restricted_flag,annual_fee_usd,supplied_payment_records,supplied_payment_value_usd,last_supplied_payment_date,average_positive_available_usd,average_absolute_available_usd,latest_available_usd,closure_validation_candidate,candidate_reason,protection_or_validation_reason,evidence_label,decision_boundary
AC0009,E002,Aurelius Home US,NA,United States,Northbridge Bank,USD,Legacy,Dormant,14.3,Portal,None,Oracle-E1,Organic,Low,False,3600,0,0.0,,21333.384475138122,21333.384475138122,21747.1,True,Dormant + legacy purpose + zero supplied payment records,local validation required,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0024,E006,Aurelius Germany,EMEA,Germany,Pacific Crown,EUR,Legacy,Dormant,14.7,Host-to-host,None,SAP-S4,Organic,Low,False,2400,0,0.0,,9069.330892729566,9069.330892729566,9571.3963982055,True,Dormant + legacy purpose + zero supplied payment records,local validation required,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0004,E001,Aurelius Group Holdings,NA,United States,Continental Trust,USD,Legacy,Dormant,5.2,Host-to-host,None,Oracle-E1,Organic,Low,False,900,0,0.0,,1419.6717679558012,1419.6717679558012,1568.19,True,Dormant + legacy purpose + zero supplied payment records,local validation required,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0037,E010,Aurelius Singapore,APAC,Singapore,Continental Trust,SGD,Legacy,Dormant,12.5,Host-to-host,None,SAP-S4,Organic,Medium,False,900,0,0.0,,5636.958261698205,5636.958261698205,5825.8699514336,True,Dormant + legacy purpose + zero supplied payment records,local validation required,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0008,E002,Aurelius Home US,NA,United States,Pacific Crown,USD,Tax,Active,1.6,Portal,None,Oracle-E1,Organic,Low,True,3600,30,927836.54,2026-06-30,733938.200441989,733938.200441989,610367.38,False,Does not meet the narrow primary screen,tax purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0014,E004,Aurelius Canada,NA,Canada,Union Atlantic,CAD,Operating,Active,15.4,API,Domestic sweep,Oracle-E1,Organic,Low,False,3600,368,7282200.208592891,2026-06-30,730314.3205191874,730314.3205191874,688571.5338507355,False,Does not meet the narrow primary screen,domestic sweep dependency; active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,EUR,Operating,Active,5.5,Spreadsheet,None,SAP-S4,Harbor-2020,Low,False,3600,328,12565182.543307465,2026-06-30,0.0,1150238.8567577116,-1251281.1461162264,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0027,E007,Aurelius France,EMEA,France,Pacific Crown,EUR,Payroll,Active,14.4,API,None,SAP-S4,Harbor-2020,Low,True,3600,79,2985800.5189804966,2026-06-23,376302.97869046277,376302.97869046277,370325.1154437162,False,Does not meet the narrow primary screen,payroll purpose; preliminary restriction flag,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,USD,Operating,Active,5.6,Portal,None,Legacy-D365,Verde-2023,Low,False,3600,367,11953481.71,2026-06-30,2157456.65801105,2157456.65801105,2333677.35,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,USD,Operating,Active,16.0,Host-to-host,None,SAP-S4,Organic,Low,False,3600,355,10970267.68,2026-06-30,4642980.51320442,4642980.51320442,5010592.13,False,Does not meet the narrow primary screen,active operating purpose,ANALYST-CALC,"Local purpose, dependencies, signatories, service continuity, closure cost, and fee removal are not validated"
