dimension,category,dimension_population,records,represented_accounts,record_share_of_extract_pct,gross_supplied_record_value_usd,value_share_of_extract_pct,manual_touch_records,manual_touch_rate_pct,exception_records,exception_rate_pct,exception_contribution_pct,exception_record_value_usd,exception_value_contribution_pct,late_release_records,late_release_rate_pct,late_release_contribution_pct,rejected_records,rejection_rate_pct,pending_records,pending_rate_pct,repair_minutes,repair_contribution_pct,estimated_fees_usd,fee_contribution_pct,cross_border_records,cross_border_rate_pct,evidence_label,decision_boundary
overall,All supplied payment records,"All 7,600 supplied records",7600,51,100.0,198135489.5,100.0,2395,31.51,479,6.3,100.0,12478071.37,100.0,380,5.0,100.0,54,0.71,17,0.22,20080,100.0,62613.0,100.0,786,10.34,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
manual_touch,No manual touch,"All 7,600 supplied records",5205,51,68.49,139305059.4,70.31,0,0.0,175,3.36,36.53,4617847.23,37.01,153,2.94,40.26,20,0.38,12,0.23,7360,36.65,36676.5,58.58,444,8.53,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
manual_touch,Manual touch,"All 7,600 supplied records",2395,51,31.51,58830430.1,29.69,2395,100.0,304,12.69,63.47,7860224.15,62.99,227,9.48,59.74,34,1.42,5,0.21,12720,63.35,25936.5,41.42,342,14.28,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,ACH,"All 7,600 supplied records",1885,51,24.8,36135436.43,18.24,550,29.18,112,5.94,23.38,3569590.01,28.61,70,3.71,18.42,9,0.48,2,0.11,4600,22.91,4507.5,7.2,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,Local transfer,"All 7,600 supplied records",2561,51,33.7,47640338.07,24.04,783,30.57,131,5.12,27.35,1511655.72,12.11,122,4.76,32.11,18,0.7,6,0.23,5337,26.58,5806.5,9.27,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,Wire,"All 7,600 supplied records",1398,51,18.39,25009027.43,12.62,532,38.05,137,9.8,28.6,2974713.05,23.84,99,7.08,26.05,16,1.14,2,0.14,6074,30.25,48180.0,76.95,786,56.22,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,Tax,"All 7,600 supplied records",377,51,4.96,25892739.23,13.07,108,28.65,18,4.77,3.76,602229.67,4.83,12,3.18,3.16,2,0.53,2,0.53,733,3.65,835.5,1.33,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,Internal transfer,"All 7,600 supplied records",621,51,8.17,11507498.34,5.81,197,31.72,39,6.28,8.14,799842.73,6.41,44,7.09,11.58,5,0.81,1,0.16,1752,8.73,1516.5,2.42,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
payment_type,Payroll,"All 7,600 supplied records",758,51,9.97,51950450.0,26.22,225,29.68,42,5.54,8.77,3020040.19,24.2,33,4.35,8.68,4,0.53,4,0.53,1584,7.89,1767.0,2.82,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
cross_border,Domestic,"All 7,600 supplied records",6814,51,89.66,183413294.14,92.57,2053,30.13,369,5.42,77.04,10011157.06,80.23,311,4.56,81.84,42,0.62,16,0.23,15159,75.49,26772.0,42.76,0,0.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
cross_border,Cross-border,"All 7,600 supplied records",786,50,10.34,14722195.36,7.43,342,43.51,110,13.99,22.96,2466914.32,19.77,69,8.78,18.16,12,1.53,1,0.13,4921,24.51,35841.0,57.24,786,100.0,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
region,APAC,"All 7,600 supplied records",3313,21,43.59,50903179.24,25.69,978,29.52,184,5.55,38.41,2338520.28,18.74,157,4.74,41.32,23,0.69,5,0.15,7758,38.64,27265.5,43.55,343,10.35,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
region,EMEA,"All 7,600 supplied records",2353,16,30.96,92849922.45,46.86,829,35.23,160,6.8,33.4,6559920.31,52.57,122,5.18,32.11,19,0.81,6,0.25,6584,32.79,19399.5,30.98,244,10.37,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
region,NA,"All 7,600 supplied records",1934,14,25.45,54382387.81,27.45,588,30.4,135,6.98,28.18,3579630.78,28.69,101,5.22,26.58,12,0.62,6,0.31,5738,28.58,15948.0,25.47,199,10.29,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
account_purpose,Collection,"All 7,600 supplied records",742,16,9.76,21466387.58,10.83,198,26.68,30,4.04,6.26,354782.66,2.84,42,5.66,11.05,3,0.4,1,0.13,1199,5.97,5943.0,9.49,79,10.65,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
account_purpose,Operating,"All 7,600 supplied records",5545,16,72.96,139820451.86,70.57,1851,33.38,377,6.8,78.71,10324755.41,82.74,274,4.94,72.11,44,0.79,14,0.25,15837,78.87,45778.5,73.11,567,10.23,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
account_purpose,Payroll,"All 7,600 supplied records",1230,16,16.18,33762189.16,17.04,329,26.75,70,5.69,14.61,1773467.86,14.21,62,5.04,16.32,7,0.57,1,0.08,2947,14.68,10239.0,16.35,132,10.73,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
account_purpose,Tax,"All 7,600 supplied records",83,3,1.09,3086460.91,1.56,17,20.48,2,2.41,0.42,25065.45,0.2,2,2.41,0.53,0,0.0,1,1.2,97,0.48,652.5,1.04,8,9.64,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
visibility_method,Host-to-host,"All 7,600 supplied records",2127,17,27.99,44321327.46,22.37,401,18.85,110,5.17,22.96,2069278.0,16.58,92,4.33,24.21,12,0.56,3,0.14,4834,24.07,16336.5,26.09,203,9.54,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
visibility_method,Spreadsheet,"All 7,600 supplied records",2772,14,36.47,81151206.04,40.96,1212,43.72,206,7.43,43.01,7131937.05,57.16,154,5.56,40.53,22,0.79,5,0.18,8786,43.75,23196.0,37.05,288,10.39,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
visibility_method,API,"All 7,600 supplied records",1693,12,22.28,49910458.39,25.19,339,20.02,90,5.32,18.79,2250233.0,18.03,76,4.49,20.0,10,0.59,4,0.24,3692,18.39,14815.5,23.66,198,11.7,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
visibility_method,Portal,"All 7,600 supplied records",1008,8,13.26,22752497.61,11.48,443,43.95,73,7.24,15.24,1026623.33,8.23,58,5.75,15.26,10,0.99,5,0.5,2768,13.78,8265.0,13.2,97,9.62,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
bank,Pacific Crown,"All 7,600 supplied records",1271,12,16.72,40566966.25,20.47,291,22.9,63,4.96,13.15,1717343.18,13.76,64,5.04,16.84,8,0.63,4,0.31,2743,13.66,9751.5,15.57,118,9.28,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
bank,Union Atlantic,"All 7,600 supplied records",2153,12,28.33,59236863.54,29.9,807,37.48,155,7.2,32.36,4396422.41,35.23,110,5.11,28.95,17,0.79,5,0.23,6371,31.73,17578.5,28.07,213,9.89,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
bank,Continental Trust,"All 7,600 supplied records",1782,11,23.45,41037244.15,20.71,532,29.85,98,5.5,20.46,2167124.84,17.37,83,4.66,21.84,11,0.62,3,0.17,4271,21.27,15903.0,25.4,214,12.01,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
bank,Meridian Commercial,"All 7,600 supplied records",1723,10,22.67,45774012.35,23.1,640,37.14,124,7.2,25.89,3480077.06,27.89,88,5.11,23.16,17,0.99,4,0.23,5112,25.46,13888.5,22.18,173,10.04,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
bank,Northbridge Bank,"All 7,600 supplied records",671,6,8.83,11520403.21,5.81,125,18.63,39,5.81,8.14,717103.88,5.75,35,5.22,9.21,1,0.15,1,0.15,1583,7.88,5491.5,8.77,68,10.13,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
erp_system,SAP-S4,"All 7,600 supplied records",3800,25,50.0,121655946.74,61.4,1226,32.26,221,5.82,46.14,7522594.32,60.29,185,4.87,48.68,32,0.84,5,0.13,9405,46.84,31413.0,50.17,400,10.53,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
erp_system,Legacy-D365,"All 7,600 supplied records",1866,12,24.55,22097154.95,11.15,581,31.14,123,6.59,25.68,1375846.27,11.03,94,5.04,24.74,10,0.54,6,0.32,4937,24.59,15252.0,24.36,187,10.02,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
erp_system,Oracle-E1,"All 7,600 supplied records",1934,14,25.45,54382387.81,27.45,588,30.4,135,6.98,28.18,3579630.78,28.69,101,5.22,26.58,12,0.62,6,0.31,5738,28.58,15948.0,25.47,199,10.29,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
status,Completed,"All 7,600 supplied records",7104,51,93.47,184106021.07,92.92,2086,29.36,0,0.0,0.0,0.0,0.0,323,4.55,85.0,0,0.0,0,0.0,0,0.0,49518.0,79.09,675,9.5,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
status,Rejected,"All 7,600 supplied records",54,25,0.71,2183098.42,1.1,34,62.96,54,100.0,11.27,2183098.42,17.5,6,11.11,1.58,54,100.0,0,0.0,2220,11.06,1467.0,2.34,12,22.22,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
status,Repaired,"All 7,600 supplied records",425,45,5.59,10294972.96,5.2,270,63.53,425,100.0,88.73,10294972.96,82.5,49,11.53,12.89,0,0.0,0,0.0,17860,88.94,11542.5,18.43,98,23.06,ANALYST-CALC,"Within supplied 7,600 records only; association does not establish cause or ACG-wide performance"
