assumption_id,assumption,used_in,base_value,low_value,high_value,unit,source_or_rationale,sensitivity,validation_action,client_owner,status
A001,"Date equality is a usable interim count-based visibility proxy",Visibility diagnostic,58.18,,,percent of account-days,"9,955 account-days; source method explains supplied delay pattern",High,"Obtain receipt timestamps and agree cutoff/balance definition",Group Treasurer / CIO,Open — pattern supported; KPI unvalidated
A002,"Project FX rate on record date is appropriate for USD translation",All USD analysis,Project rate,,,USD per local unit,"Project dataset convention; all joins reconcile",Medium,"Confirm Finance reporting convention and rate source",Group Finance,Open
A003,"The sweep label 'None' is a valid category rather than missing data",Data ingestion,Valid category,,,categorical,"Data dictionary and keep_default_na=False treatment",Low,"Validated against data dictionary and controls",Baker,Closed
A004,"Preliminary restricted flags do not prove immobility or mobility",Liquidity scenarios,Unvalidated,,,boolean,"$8.05m positive estimate on flagged accounts at 30 June",High,"Legal/tax/local certification by account",Legal / Tax / Regional Finance,Open
A005,"Estimated available balances are suitable only for preliminary scenarios",Liquidity scenarios,Unvalidated,,,USD,"$57.80m gross positive estimate; balance type not certified",High,"Reconcile bank definitions and minimum operating buffers",Group Treasurer,Open
A006,"Repair minutes and process manual percentages are management estimates",Capacity analysis,Management estimate,,,minutes/hours,"617.72-hour process screen; no observed time",High,"Time sample and classify required control work",Shared Services / Controls,Open
A007,"Estimated account and payment fees are not an actual cashable baseline",P&L analysis,Estimated,,,USD,"$7.8k candidate-account fees and $62.6k supplied-record payment fees",High,"Reconcile invoices contracts closure economics and actual removal",Treasury / Finance,Open
A008,"Six months are directionally representative outside unobserved seasonality",Diagnostic trends,6,,,months,"Only 1 Jan–30 Jun 2026 supplied",High,"Obtain 12–24 months or constrain conclusions",Data owner,Open
A009,"The 7,600 payment records represent the relevant ACG payment population",Payment diagnosis,Unvalidated,,,population,"No source total or sampling logic; every result remains extract-bounded",High,"Reconcile source record/value totals and document extraction",Shared Services / Data owner,Open
A010,"Payment and process files use comparable exception populations",Capacity analysis,Unreconciled,,,scope,"55.78 payment-file versus 102.60 process-file repair hours/month",High,"Reconcile population period process-instance and geography definitions",Shared Services / Process owner,Rejected for combined baseline
A011,"The $3.9bn entity sum and $3.8bn brief revenue are comparable",Revenue baseline,Unreconciled,,,USD billions,"Supplied sources differ by $0.1bn",High,"Confirm period perimeter eliminations and rounding",Group Finance,Open
A012,"At least $35m can be validated as movable within 24 hours",Liquidity mobility hypothesis,35000000,21000000,46200000,USD,"$35m survives 138/168 14-day screening windows; mobility remains unvalidated",High,"Certify restrictions buffers timing entity rules facility use and economics",Treasury / Legal / Tax / Regional Finance,Open — screen supported; mobility unvalidated
A013,"All four primary account candidates can close within 12 months",Account rationalization hypothesis,4,2,10,accounts,"Four meet dormant + legacy + zero supplied-record rule; ten unsupported",High,"Validate purpose receipts dependencies signatories closure cost and fee removal",Treasury / Regional Finance,Open — four candidates; ten rejected
A014,"Wave 1 can reach 50 of 55 same-day accounts without ERP replacement",Visibility delivery hypothesis,50,47,55,accounts,"All 23 delayed accounts use portal/spreadsheet; targeted integration is plausible",High,"Build account source plan and validate timestamped service results",CIO / Treasurer / Data owners,Open
A015,"Comparable payment scope can reach 20% manual / 4% exceptions / 3.5% late / 12000 repair minutes",Payment target,"20 / 4 / 3.5 / 12000",,,"percent / percent / percent / minutes","Targets require a controlled population; report overall and across four mutually exclusive priority strata",High,"Reconcile population and test reason-coded interventions without double counting",Shared Services / Process owner,Open
A016,"At least 150 of 617.72 estimated manual hours/month can be redeployed",Capacity hypothesis,150,50,,hours/month,"Base is 24.28%; source and control removability unresolved",High,"Observe time define removal and redeployment preserve controls",Process owners / Finance,Open — not fundable
A017,"Cross-border activity contains 25–50 basis points of avoidable cost",FX screening hypothesis,25,0,50,basis points,"No trades exposures hedges spreads or settlements supplied",High,"Reconcile at least 95% of exposure/trade value before conclusion",Group Treasury / Finance,Data-gated
A018,"A 10-account pilot can meet execution gates before scale",Deployment hypothesis,10,,,accounts,"Targeted pilot is directionally supported; readiness and account selection require evidence",High,"Validate peak calendar readiness service gates rollback and critical-flow continuity",CIO / Treasurer / Regional Finance,Open
A019,"At least 25% of flagged positive availability can clear certification",Restriction-clearance hypothesis,2013425,0,4026850,USD,"Clearance does not itself establish mobility",High,"Certify all 21 flagged accounts and own exceptions",Legal / Tax / Regional Finance,Open
A020,"Trailing 7- and 14-day supplied-record value is a useful screening sensitivity",Liquidity buffer scenarios,7,14,,calendar days,"Seven days is a near-term payment-intent reference; 14 days extends the stability test across two weeks. Neither separately validates complete payroll tax seasonal/peak expenditure receipts settlement calendars forecast error or extraordinary funding events",High,"Replace with approved minimum operating cash and forecast-event policy",Treasury / FP&A / Regional Finance,Open — sensitivity only
A021,"Positive and negative positions can be netted as a group-level screening sensitivity",Liquidity netting scenarios,Unvalidated,,,USD,"Two persistent negative accounts coexist with group positives",High,"Validate legal transferability timing settlement and intercompany mechanics",Treasury / Legal / Tax,Open — sensitivity only
