cost_requirement_id,cost_category,one_time_low_usd,one_time_base_usd,one_time_high_usd,recurring_annual_low_usd,recurring_annual_base_usd,recurring_annual_high_usd,estimate_basis,assumption_label,evidence_status,model_version
CR01,"Software, licenses, and subscriptions",40000,75000,120000,60000,95000,150000,Configuration and setup one-time; subscription priced per module and user recurring,"ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR02,Integration and data engineering,220000,320000,470000,0,0,0,"Bank interfaces plus three ERP environments, data remediation, and testing; build effort only","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR03,"Cybersecurity, access, and control assurance",70000,110000,165000,25000,40000,60000,"Control and SoD design, access model, and penetration testing one-time; recurring control operation and retest","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR04,"Pilot, testing, and program delivery",150000,215000,300000,0,0,0,"Pilot delivery, environments, QA, PMO, and rollback rehearsal; ends at the exit decision","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR05,"Change, training, and local adoption",60000,95000,140000,10000,18000,30000,"Role and region training, procedure change, and hypercare one-time; recurring refresh training","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR06,Internal capacity and backfill,120000,175000,250000,0,0,0,Named internal effort and approved backfill at loaded rates for the initial stage,"ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR07,"Bank, account, transfer, tax, and FX costs",15000,30000,55000,5000,10000,20000,Account closure and transfer charges one-time; recurring tariff and FX effects,"ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR08,"Run support, hosting, and service management",20000,35000,55000,70000,110000,170000,"Service transition one-time; recurring hosting, monitoring, incident response, and data operations","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR09,"Decommissioning, exit, and contingency",45000,75000,120000,0,0,0,"Legacy exit, dual running, retention, and risk-based contingency","ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
CR10,Cost and benefit timing model,15000,25000,40000,5000,8000,12000,Finance effort to build and then maintain the integrated cost and benefit timing model,"ANALYST-ASSUMPTION — provisional planning range; no vendor quote, statement of work, or rate card supplied",OPEN — CR evidence not supplied; this estimate does not close the requirement,W3-VALIDATION-CASE-v1 · 2026-08-18
