date,positive_account_count,zero_account_count,negative_account_count,gross_positive_available_usd,gross_negative_available_usd,net_estimated_available_usd,simultaneous_account_positions_flag,gross_positive_to_deficit_ratio,positive_entity_count,zero_entity_count,deficit_entity_count,gross_entity_surplus_usd,gross_entity_deficit_usd,entity_net_estimated_available_usd,simultaneous_entity_positions_flag,evidence_label,decision_boundary
2026-01-01,53,0,2,57391990.010627665,-2219284.1477296147,55172705.86289805,True,25.860586653286898,16,0,0,55172705.86289805,0.0,55172705.86289805,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-02,53,0,2,58499125.387111425,-2080748.1137052448,56418377.273406185,True,28.11446758105691,16,0,0,56418377.27340618,0.0,56418377.273406185,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-03,53,0,2,58579983.193003856,-1852426.9272895022,56727556.265714355,True,31.62337057943707,16,0,0,56727556.26571436,0.0,56727556.265714355,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-04,53,0,2,56919048.14751566,-1650189.9324263744,55268858.21508929,True,34.49242237457123,16,0,0,55268858.21508929,0.0,55268858.21508929,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-05,53,0,2,56277856.65270935,-1855618.0150009827,54422238.63770837,True,30.32836294849161,16,0,0,54422238.637708366,0.0,54422238.637708366,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-06,53,0,2,55948948.57858639,-2266643.6106528537,53682304.967933536,True,24.6836107430544,15,0,1,53714221.559849724,-31916.591916193778,53682304.967933536,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-07,53,0,2,56396730.79987798,-2222585.529083999,54174145.270793974,True,25.374380451006058,16,0,0,54174145.270793974,0.0,54174145.270793974,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-08,53,0,2,58013114.80880838,-2304702.2219002014,55708412.58690818,True,25.171631396691765,16,0,0,55708412.58690818,0.0,55708412.58690818,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-09,53,0,2,58576930.38267987,-2121114.267682032,56455816.11499784,True,27.616112566482865,16,0,0,56455816.114997834,0.0,56455816.114997834,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-10,53,0,2,60517801.520846136,-1910785.5123839667,58607016.00846217,True,31.67168744405116,16,0,0,58607016.008462176,0.0,58607016.00846217,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-11,53,0,2,56460822.932412244,-1809992.6142449332,54650830.318167314,True,31.193952112321607,16,0,0,54650830.318167314,0.0,54650830.318167314,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-12,53,0,2,56215705.24548002,-2143147.6282173325,54072557.61726269,True,26.2304399871138,15,0,1,54083905.56745811,-11347.950195411104,54072557.61726269,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-13,53,0,2,56643063.39594246,-2327663.1727391295,54315400.22320333,True,24.334733675958137,15,0,1,54332124.7300144,-16724.50681106723,54315400.22320333,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-14,53,0,2,56523189.033203684,-2401880.597315347,54121308.43588834,True,23.532888810701635,15,0,1,54362635.81167051,-241327.37578217016,54121308.435888335,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-15,53,0,2,56203905.263883926,-2394378.9088693606,53809526.35501457,True,23.473271108299116,16,0,0,53809526.35501457,0.0,53809526.35501457,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-16,53,0,2,57877186.711746745,-2013197.6438267024,55863989.067920044,True,28.74888458628102,16,0,0,55863989.067920044,0.0,55863989.067920044,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-17,53,0,2,57379227.7243235,-2041562.4719060175,55337665.25241749,True,28.105545881607945,16,0,0,55337665.25241749,0.0,55337665.25241749,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-18,53,0,2,57311012.45482286,-1821729.297008126,55489283.15781473,True,31.45967545724068,16,0,0,55489283.15781473,0.0,55489283.15781473,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-19,53,0,2,58407276.85622421,-2022810.3905429733,56384466.46568123,True,28.874321156985072,15,0,1,56454356.738606825,-69890.27292559255,56384466.46568123,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-20,53,0,2,56922775.81010833,-2155231.9383546514,54767543.87175367,True,26.411438507896438,16,0,0,54767543.87175367,0.0,54767543.87175367,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-21,53,0,2,57834443.829154804,-2181137.146636308,55653306.6825185,True,26.515730071511342,15,0,1,55667821.30116937,-14514.618650881806,55653306.6825185,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-22,53,0,2,59377456.49201648,-2266911.2211334337,57110545.270883046,True,26.193110669031107,16,0,0,57110545.270883046,0.0,57110545.270883046,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-23,53,0,2,58478331.549153104,-2015998.9440575119,56462332.605095595,True,29.007124096730106,16,0,0,56462332.605095595,0.0,56462332.605095595,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-24,53,0,2,58057820.07559389,-1819010.8476699512,56238809.22792394,True,31.91724785476823,16,0,0,56238809.22792393,0.0,56238809.22792394,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-25,53,0,2,58736523.576605916,-1707651.7290631423,57028871.84754277,True,34.39607888244879,16,0,0,57028871.84754278,0.0,57028871.84754277,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-26,53,0,2,56141687.94716493,-1958094.6616521822,54183593.285512745,True,28.671590320252566,16,0,0,54183593.285512745,0.0,54183593.285512745,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-27,53,0,2,58078474.63826424,-2183934.3626445853,55894540.275619656,True,26.593507401905356,15,0,1,56065380.3454589,-170840.06983924657,55894540.275619656,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-28,53,0,2,58255761.72921775,-2408945.153056572,55846816.576161176,True,24.183100082332867,14,0,2,56011638.47166558,-164821.89550440715,55846816.576161176,True,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-29,53,0,2,58670947.84314717,-2140349.9449810255,56530597.89816615,True,27.411848226373703,16,0,0,56530597.89816615,0.0,56530597.89816615,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
2026-01-30,53,0,2,58254168.35043232,-2172980.762754066,56081187.58767825,True,26.80841420639186,16,0,0,56081187.58767825,0.0,56081187.58767825,False,ANALYST-CALC,"Concurrent positions do not prove avoidable borrowing, transferability, or interest cost"
