selection_order,account_id,entity_id,entity_name,region,country,currency,bank_name,erp_system,visibility_method,purpose,restricted_flag,cash_restriction_level,supplied_account_days,minimum_reporting_delay_days,maximum_reporting_delay_days,average_positive_available_usd,method_average_positive_rank,region_method_average_positive_rank,selection_rule,cohort_treatment,shadow_only_flag,control_review_required,enhanced_control_review_required,readiness_status,selection_rule_version,evidence_label,decision_boundary
1,AC0021,E006,Aurelius Germany,EMEA,Germany,EUR,Continental Trust,SAP-S4,Spreadsheet,Operating,False,Low,181,2,3,5362036.58,1,1,Top four accounts by January–June average positive estimated available USD within Spreadsheet sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
2,AC0010,E003,Aurelius Wellness US,NA,United States,USD,Union Atlantic,Oracle-E1,Spreadsheet,Operating,False,Low,181,2,3,3954949.61,2,1,Top four accounts by January–June average positive estimated available USD within Spreadsheet sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
3,AC0017,E005,Aurelius UK,EMEA,United Kingdom,GBP,Union Atlantic,SAP-S4,Spreadsheet,Operating,False,Low,181,2,3,2748386.45,3,2,Top four accounts by January–June average positive estimated available USD within Spreadsheet sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
4,AC0001,E001,Aurelius Group Holdings,NA,United States,USD,Union Atlantic,Oracle-E1,Spreadsheet,Operating,False,Low,181,2,3,2365483.81,4,2,Top four accounts by January–June average positive estimated available USD within Spreadsheet sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
5,AC0040,E011,Aurelius Australia,APAC,Australia,AUD,Continental Trust,SAP-S4,Spreadsheet,Payroll,True,Low,181,2,3,562887.67,6,1,Highest APAC account by January–June average positive estimated available USD within Spreadsheet sources,Read-only shadow observation; substitution subject to enhanced control review,True,True,True,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
6,AC0022,E006,Aurelius Germany,EMEA,Germany,EUR,Meridian Commercial,SAP-S4,Portal,Collection,False,Low,181,1,1,2435230.46,1,1,Top four accounts by January–June average positive estimated available USD within Portal sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
7,AC0031,E009,Aurelius Spain,EMEA,Spain,USD,Meridian Commercial,Legacy-D365,Portal,Operating,False,Low,181,1,1,2157456.66,2,2,Top four accounts by January–June average positive estimated available USD within Portal sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
8,AC0018,E005,Aurelius UK,EMEA,United Kingdom,GBP,Union Atlantic,SAP-S4,Portal,Collection,False,Low,181,1,1,1409470.55,3,3,Top four accounts by January–June average positive estimated available USD within Portal sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
9,AC0002,E001,Aurelius Group Holdings,NA,United States,USD,Pacific Crown,Oracle-E1,Portal,Collection,False,Low,181,1,1,920312.05,4,1,Top four accounts by January–June average positive estimated available USD within Portal sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
10,AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,HKD,Union Atlantic,SAP-S4,Portal,Operating,False,Medium,181,1,1,328334.29,7,1,Highest APAC account by January–June average positive estimated available USD within Portal sources,Provisional read-only cohort; subject to readiness and control review,False,True,False,"NOT LAUNCH-READY — authoritative source, cutoff, owner, reconciliation, service, control, cost, and rollback evidence open",W3-VIS-PILOT-v2 · 2026-08-18,ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
