assumption_id,assumption,used_in,base_value,low_value,high_value,unit,source_or_rationale,sensitivity,validation_action,client_owner,status,evidence_label
A20,"Federated coordination remains preferred while ownership, integration readiness, affordability, and critical gates remain viable",Final recommendation,"Conditional direction","Local stabilization","Global coordination only after later evidence",option,"W3 option model: 87/72/60 and five sensitivity wins",High,"Confirm direction and switch conditions at G0",CFO / Steering Committee,Open,ANALYST-JUDGMENT
A21,"The FY2026 $1.0-$1.5m amount is an initial-stage ceiling only",Roadmap and funding,"$1.0m-$1.5m",,,USD,"Client-confirmed constraint; not cost estimate or authority",High,"Record treatment in G0 decision",CFO,Open,ACG-DATA
A22,"Provisional one-time cost range is useful for planning",Memo and G2,"$1.155m","$755k","$1.715m",USD,"W3 analyst allocation; no quotes or rate cards",High,"Close CR01-CR10 with bottom-up evidence",Finance / CIO / Procurement,Open,ANALYST-ASSUMPTION
A23,"Provisional recurring cost range is useful for planning",Memo and BAU budget,"$281k","$175k","$442k",USD/year,"W3 analyst allocation; separate from ceiling",High,"Approve recurring run budget before go-live",Finance / CIO,Open,ANALYST-ASSUMPTION
A24,"Same-day calendar proxy can seed KPI design",K01,"58.18",,,percent,"5,792/9,955 account-days",High,"Approve operational cutoff and timestamp at G1",Group Treasurer,Open,ANALYST-CALC
A25,"A ≥90% same-day cohort target is a reasonable first operating threshold",K01,"≥90",,,percent,"Analyst target for bounded cohort",Medium,"Baseline controlled source and owner then approve target",Group Treasurer,Open,ANALYST-JUDGMENT
A26,"A ≥20% relative exception-rate reduction is a bounded pilot target",K06,"≥20",,,percent relative,"Analyst target subject to cause evidence and comparability",Medium,"Approve after 120-record root-cause review",Shared Services Lead,Open,ANALYST-JUDGMENT
A27,"Month 5 is the earliest realistic NA production-start planning floor",Roadmap,"Month 5",,,month,"90-day evidence window plus confirmed eight-week Q4 freeze; exact dates open",High,"Confirm freeze dates and Rachel Kim sign-off path at G1",NA BU CFO,Open,ANALYST-ASSUMPTION
A28,"A four-hour rollback threshold is an appropriate critical release gate",G3/G4,"≤4",,,hours,"W3 proposed control; not tested",High,"Approve and rehearse in safe environment",CIO / Process owner,Open,ANALYST-JUDGMENT
A29,"Four account candidates remain the complete narrow validation cohort",I04,"4",,,accounts,"Dormant + legacy + zero supplied payment records",Medium,"Complete local dependency and continuity checks",Group Treasurer / Regional Finance,Open,ANALYST-CALC
A30,"The $35m screen is a useful base diagnostic quantity",Benefit ledger,"$35m","$21m","$46.2m",USD screen,"14-day threshold analysis",High,"Close VG01-VG05 before any value/action",Group Treasurer / Finance,Open,ANALYST-ASSUMPTION
A31,"150 productive hours/month is a useful base hypothesis",Benefit ledger,"150","50","150",hours/month,"W3 scenario; source populations unreconciled",High,"Complete time study and productive redeployment evidence",Shared Services / Finance,Open,ANALYST-ASSUMPTION
A32,"Seven initiative owners can be confirmed at G0/G1",Governance,"Proposed RACI",,,roles,"W3 operating-model proposal",High,"Named executives accept accountability",CFO,Open,ANALYST-JUDGMENT
A33,"Relevant gate closure rather than all 22 gates can govern a narrowly bounded test",K14,"Decision-specific",,,rule,"Not every evidence package applies equally to every test",High,"Steering Committee approves applicability matrix",Finance Benefits / Control owners,Open,ANALYST-JUDGMENT
A34,"Day 90 can produce a disciplined extend or switch decision without being a failed program",G3,"Stop / extend / bounded pilot",,,decision,"Stage-gate design preserves option value",Medium,"Confirm allowed G3 outcomes at G0",CFO / Steering Committee,Open,ANALYST-JUDGMENT
