date,net_closing_usd,gross_positive_closing_usd,gross_negative_closing_usd,net_estimated_available_usd,gross_positive_estimated_available_usd,gross_negative_estimated_available_usd,preliminarily_restricted_positive_available_usd,preliminarily_unflagged_positive_available_usd,delayed_positive_available_usd,evidence_label,decision_boundary
2026-01-01,59339319.57415971,61558603.721889324,-2219284.1477296147,55172705.86289805,57391990.010627665,-2219284.1477296147,8860695.534805981,48531294.47582168,24993685.062332965,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-02,60463100.19249086,62543848.30619611,-2080748.1137052448,56418377.273406185,58499125.387111425,-2080748.1137052448,8449583.213754792,50049542.17335664,26454942.356938206,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-03,60697040.123742804,62549467.051032305,-1852426.9272895022,56727556.265714355,58579983.193003856,-1852426.9272895022,8909337.25463721,49670645.93836665,25810455.947273917,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-04,59059707.2748365,60709897.20726287,-1650189.9324263744,55268858.21508929,56919048.14751566,-1650189.9324263744,8699444.10624219,48219604.041273475,25913095.39351097,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-05,58360584.4351629,60216202.450163886,-1855618.0150009827,54422238.63770837,56277856.65270935,-1855618.0150009827,8362582.362392871,47915274.290316485,24812873.837831326,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-06,58032234.48964286,60298878.10029571,-2266643.6106528537,53682304.967933536,55948948.57858639,-2266643.6106528537,8121333.413967865,47827615.16461852,25005029.892415054,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-07,58509092.62262958,60731678.15171359,-2222585.529083999,54174145.270793974,56396730.79987798,-2222585.529083999,8079628.332201559,48317102.467676416,24969987.20988148,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-08,59780399.67098828,62085101.89288848,-2304702.2219002014,55708412.58690818,58013114.80880838,-2304702.2219002014,8550106.149458151,49463008.659350224,26990282.618365467,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-09,60175755.38950579,62296869.65718782,-2121114.267682032,56455816.11499784,58576930.38267987,-2121114.267682032,8855597.186753577,49721333.195926294,26786569.360467184,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-10,63215588.19941093,65126373.7117949,-1910785.5123839667,58607016.00846217,60517801.520846136,-1910785.5123839667,8761223.471884899,51756578.04896124,26430886.071639594,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-11,58407318.16496925,60217310.77921419,-1809992.6142449332,54650830.318167314,56460822.932412244,-1809992.6142449332,8727120.30273366,47733702.629678585,24301566.925732777,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-12,58317489.02705168,60460636.65526901,-2143147.6282173325,54072557.61726269,56215705.24548002,-2143147.6282173325,8227925.097625394,47987780.14785463,25291511.14650523,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-13,58946244.38099786,61273907.553736985,-2327663.1727391295,54315400.22320333,56643063.39594246,-2327663.1727391295,8192317.439165869,48450745.95677659,26443389.84378396,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-14,58899712.75390958,61301593.35122493,-2401880.597315347,54121308.43588834,56523189.033203684,-2401880.597315347,8398491.994854134,48124697.038349554,25517795.22613425,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-15,57988383.23782863,60382762.14669799,-2394378.9088693606,53809526.35501457,56203905.263883926,-2394378.9088693606,8713845.72328248,47490059.54060145,25339242.739163417,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-16,60745564.47051378,62758762.114340484,-2013197.6438267024,55863989.067920044,57877186.711746745,-2013197.6438267024,8876239.418608498,49000947.29313825,25400844.12559228,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-17,59890714.862010665,61932277.33391669,-2041562.4719060175,55337665.25241749,57379227.7243235,-2041562.4719060175,8903100.028047131,48476127.696276374,24809952.6227336,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-18,59561363.437724814,61383092.73473294,-1821729.297008126,55489283.15781473,57311012.45482286,-1821729.297008126,8867883.22684731,48443129.227975555,25505704.245544255,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-19,60440571.82256862,62463382.21311159,-2022810.3905429733,56384466.46568123,58407276.85622421,-2022810.3905429733,8300745.841759574,50106531.01446463,26358140.678051908,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-20,58662931.049955145,60818162.98830979,-2155231.9383546514,54767543.87175367,56922775.81010833,-2155231.9383546514,8164398.967804418,48758376.8423039,26403753.486390207,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-21,59697109.822060965,61878246.96869727,-2181137.146636308,55653306.6825185,57834443.829154804,-2181137.146636308,8419078.44107013,49415365.38808468,26285220.925722163,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-22,60821924.87723039,63088836.098363824,-2266911.2211334337,57110545.270883046,59377456.49201648,-2266911.2211334337,8816924.002218006,50560532.48979847,26656311.009838298,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-23,61252205.1333923,63268204.077449806,-2015998.9440575119,56462332.605095595,58478331.549153104,-2015998.9440575119,8850646.988366695,49627684.56078641,25452493.97189236,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
2026-01-24,60031350.01678373,61850360.86445368,-1819010.8476699512,56238809.22792394,58057820.07559389,-1819010.8476699512,8930442.927417671,49127377.148176216,26282461.79777889,ANALYST-CALC,Estimated availability and preliminary flags do not establish transferability
