control_id,control_name,control_rule,observed_result,control_status,evidence_gate_status,failure_action,proposed_owner,model_version
BC01,Week 2 evidence reconciliation,"Reconcile $21m/$35m/$46.2m screens, 4 candidates/$7,800, 617.72 hours/month, and independent repair baselines",All governed Week 2 anchors reconcile exactly,MODEL CONTROL PASS,OPEN,Stop generation and investigate source change,Baker / data owners,W3-VALIDATION-CASE-v1 · 2026-08-18
BC02,Diagnostic scenario boundary,"Scenario quantities must be labelled hypotheses, not benefits",Three scenario rows retain screen/sensitivity/hypothesis labels,MODEL CONTROL PASS,OPEN,Reject scenario output,Finance / value owners,W3-VALIDATION-CASE-v1 · 2026-08-18
BC03,Cash-release recognition gate,"Validated, funded, and recognized USD remain zero until all category evidence gates close",3 scenario rows remain open with all value fields at $0,MODEL CONTROL PASS,BLOCKED,Block value and return to named evidence gates,Group Treasurer; Finance validates recognition,W3-VALIDATION-CASE-v1 · 2026-08-18
BC04,Annual P&L recognition gate,"Validated, funded, and recognized USD remain zero until all category evidence gates close",3 scenario rows remain open with all value fields at $0,MODEL CONTROL PASS,BLOCKED,Block value and return to named evidence gates,Finance; local account owners validate closure,W3-VALIDATION-CASE-v1 · 2026-08-18
BC05,Capacity recognition gate,"Validated, funded, and recognized USD remain zero until all category evidence gates close",3 scenario rows remain open with all value fields at $0,MODEL CONTROL PASS,BLOCKED,Block value and return to named evidence gates,Shared Services Lead; Finance approves value treatment,W3-VALIDATION-CASE-v1 · 2026-08-18
BC06,Risk-valuation gate,Risk exposure and value remain NOT QUANTIFIED; $0 appears only as the current recognized-value ledger entry,Three risk rows retain NOT QUANTIFIED diagnostic quantities and $0 recognized-value entries,MODEL CONTROL PASS,BLOCKED,Block value and return to named evidence gates,Management control owner; Finance validates valuation,W3-VALIDATION-CASE-v1 · 2026-08-18
BC07,Cost completeness gate,All ten cost categories require sourced amount and timing evidence,10/10 requirements are open; actual cost unavailable,MODEL CONTROL PASS,BLOCKED,Do not calculate returns or decide funding until populated,Finance / CIO / Procurement,W3-VALIDATION-CASE-v1 · 2026-08-18
BC08,Funding-envelope interpretation,$1.0-$1.5m is a ceiling only and never an estimated cost,Envelope role is explicit on every scenario and cost row,MODEL CONTROL PASS,OPEN,Remove any inferred spend or return calculation,CFO / Finance,W3-VALIDATION-CASE-v1 · 2026-08-18
BC09,Return-metric gate,"ROI, NPV, and payback remain unavailable without cost and ramp",Return metric status is NOT AVAILABLE for all scenarios,MODEL CONTROL PASS,BLOCKED,Block investment-case calculation,Finance,W3-VALIDATION-CASE-v1 · 2026-08-18
BC10,Non-additive value ledger,"Never add cash release, P&L, capacity, and risk categories",12/12 ledger rows carry the non-additive rule,MODEL CONTROL PASS,OPEN,Reject aggregate value total,Finance,W3-VALIDATION-CASE-v1 · 2026-08-18
BC11,Conditional downside-boundary control,"At $21m, two candidate validations, independent 50% × $7,800 fee sensitivity, and 50 hours/month, retain federated coordination only while global data/control ownership, minimum integration readiness, and affordability remain viable; otherwise use local stabilization","Conditional direction and fallback are explicit; no robustness, execution, funding, or benefit conclusion is authorized",MODEL CONTROL PASS,OPEN,Keep evidence gates open and use local stabilization if any named condition fails,Steering Committee,W3-VALIDATION-CASE-v1 · 2026-08-18
BC12,Assumption/evidence ownership,"Every value gate names evidence, action, owner, and status",19 governed assumption/evidence rows present,MODEL CONTROL PASS,OPEN,Keep value gate open,Value owners / PMO,W3-VALIDATION-CASE-v1 · 2026-08-18
