dimension,category,observations,accounts,same_day_observations,same_day_rate_pct,within_one_day_observations,within_one_day_rate_pct,one_day_delayed_observations,two_plus_day_delayed_observations,maximum_delay_days,positive_available_usd,same_day_positive_available_usd,positive_value_weighted_same_day_rate_pct,median_daily_delayed_positive_available_usd,median_daily_two_plus_day_positive_available_usd,evidence_label,decision_boundary
overall,All supplied account-days,9955,55,5792,58.18,7421,74.55,1629,2534,3,10483126115.95,5781269097.23,55.15,26008791.69,17129731.06,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
region,APAC,3982,22,2534,63.64,2896,72.73,362,1086,3,2276259013.81,2107294501.47,92.58,927571.92,603051.78,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
region,EMEA,3077,17,1629,52.94,2353,76.47,724,724,3,4446948499.16,1639437733.57,36.87,15454345.65,8599223.12,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
region,NA,2896,16,1629,56.25,2172,75.0,543,724,3,3759918602.98,2034536862.18,54.11,9455680.37,7848912.62,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
visibility_method,API,2172,12,2172,100.0,2172,100.0,0,0,0,2162080736.96,2162080736.96,100.0,0.0,0.0,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
visibility_method,Host-to-host,3620,20,3620,100.0,3620,100.0,0,0,0,3619188360.27,3619188360.27,100.0,0.0,0.0,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
visibility_method,Portal,1629,9,0,0.0,1629,100.0,1629,0,1,1610385061.62,0.0,0.0,8907455.99,0.0,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
visibility_method,Spreadsheet,2534,14,0,0.0,0,0.0,0,2534,3,3091471957.1,0.0,0.0,17129731.06,17129731.06,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
source_quality,Automated,5792,32,5792,100.0,5792,100.0,0,0,0,5781269097.23,5781269097.23,100.0,0.0,0.0,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
source_quality,Estimated,2534,14,0,0.0,0,0.0,0,2534,3,3091471957.1,0.0,0.0,17129731.06,17129731.06,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
source_quality,Manually reported,1629,9,0,0.0,1629,100.0,1629,0,1,1610385061.62,0.0,0.0,8907455.99,0.0,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-01,1705,55,992,58.18,1271,74.55,279,434,3,1786780001.5,987946093.81,55.29,25913095.39,17026394.39,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-02,1540,55,896,58.18,1148,74.55,252,392,3,1638742772.37,901578983.02,55.02,26341935.67,17409376.04,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-03,1705,55,992,58.18,1271,74.55,279,434,3,1796801660.12,991716527.97,55.19,26151447.98,17171113.55,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-04,1650,55,960,58.18,1230,74.55,270,420,3,1734562757.26,959336930.54,55.31,25781267.94,17057679.96,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-05,1705,55,992,58.18,1271,74.55,279,434,3,1788955962.25,986091086.67,55.12,25930886.71,17110652.54,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
month,2026-06,1650,55,960,58.18,1230,74.55,270,420,3,1737282962.44,954599475.22,54.95,25990474.89,17096624.28,ANALYST-CALC,Calendar-date proxy; not start-of-day or elapsed-24-hour visibility
