scenario_id,scenario_name,value_category,value_category_name,diagnostic_quantity,diagnostic_unit,evidence_status,validated_value_usd,funded_value_usd,recognized_value_usd,value_owner,required_gate_ids,decision_boundary,aggregation_rule,model_version
downside,Manager challenge / downside,cash_release,Cash release,21000000,USD liquidity screen,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Group Treasurer; Finance validates recognition,VG01; VG02; VG03; VG04; VG05,"Screening hypothesis only; not surplus, transferable cash, a funded case, or transfer authority",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
downside,Manager challenge / downside,annual_p_and_l,Annual P&L,3900,USD/year fee sensitivity,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Finance; local account owners validate closure,VG06; VG07,"Arithmetic portfolio sensitivity on estimated annual candidate fees; downside $3,900 is independently 50% × $7,800, not the fee sum for the two candidate-count hypothesis; no closure is approved and no fee removal is evidenced",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
downside,Manager challenge / downside,capacity,Capacity,50,hours/month hypothesis,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Shared Services Lead; Finance approves value treatment,VG08; VG09; VG10,"Productive-capacity hypothesis only; not observed time, removed labor, headcount reduction, cash saving, or P&L",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
downside,Manager challenge / downside,risk,Risk,NOT QUANTIFIED,unquantified exposure/value,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Management control owner; Finance validates valuation,VG11; VG12,"Risk exposure and value are not quantified; no incident baseline, exposure distribution, or Finance-approved valuation is supplied; $0 is only the current recognized-value ledger entry",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
base,Base diagnostic hypothesis,cash_release,Cash release,35000000,USD liquidity screen,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Group Treasurer; Finance validates recognition,VG01; VG02; VG03; VG04; VG05,"Screening hypothesis only; not surplus, transferable cash, a funded case, or transfer authority",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
base,Base diagnostic hypothesis,annual_p_and_l,Annual P&L,7800,USD/year fee sensitivity,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Finance; local account owners validate closure,VG06; VG07,"Arithmetic portfolio sensitivity on estimated annual candidate fees; downside $3,900 is independently 50% × $7,800, not the fee sum for the two candidate-count hypothesis; no closure is approved and no fee removal is evidenced",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
base,Base diagnostic hypothesis,capacity,Capacity,150,hours/month hypothesis,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Shared Services Lead; Finance approves value treatment,VG08; VG09; VG10,"Productive-capacity hypothesis only; not observed time, removed labor, headcount reduction, cash saving, or P&L",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
base,Base diagnostic hypothesis,risk,Risk,NOT QUANTIFIED,unquantified exposure/value,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Management control owner; Finance validates valuation,VG11; VG12,"Risk exposure and value are not quantified; no incident baseline, exposure distribution, or Finance-approved valuation is supplied; $0 is only the current recognized-value ledger entry",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
upside,Upper diagnostic hypothesis,cash_release,Cash release,46200000,USD liquidity screen,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Group Treasurer; Finance validates recognition,VG01; VG02; VG03; VG04; VG05,"Screening hypothesis only; not surplus, transferable cash, a funded case, or transfer authority",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
upside,Upper diagnostic hypothesis,annual_p_and_l,Annual P&L,7800,USD/year fee sensitivity,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Finance; local account owners validate closure,VG06; VG07,"Arithmetic portfolio sensitivity on estimated annual candidate fees; downside $3,900 is independently 50% × $7,800, not the fee sum for the two candidate-count hypothesis; no closure is approved and no fee removal is evidenced",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
upside,Upper diagnostic hypothesis,capacity,Capacity,150,hours/month hypothesis,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Shared Services Lead; Finance approves value treatment,VG08; VG09; VG10,"Productive-capacity hypothesis only; not observed time, removed labor, headcount reduction, cash saving, or P&L",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
upside,Upper diagnostic hypothesis,risk,Risk,NOT QUANTIFIED,unquantified exposure/value,OPEN — diagnostic quantity is not a validated benefit,0,0,0,Management control owner; Finance validates valuation,VG11; VG12,"Risk exposure and value are not quantified; no incident baseline, exposure distribution, or Finance-approved valuation is supplied; $0 is only the current recognized-value ledger entry",NON-ADDITIVE — do not sum across categories or scenarios,W3-VALIDATION-CASE-v1 · 2026-08-18
