assumption_id,assumption_or_evidence_gap,used_in,downside_value,base_value,upside_value,unit,evidence_class,source_or_rationale,current_recognized_value_usd,sensitivity,validation_action,proposed_owner,decision_gate,status
VG01,"Account-level authoritative balance type, source timestamp, reconciliation result, and accountable data owner",Cash release,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Account-level authoritative balance type, source timestamp, reconciliation result, and accountable data owner",Group Treasurer / CIO,Required before benefit recognition,Open
VG02,"Legal, tax, regulatory, purpose, and local transferability certification by entity and account",Cash release,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Legal, tax, regulatory, purpose, and local transferability certification by entity and account",Legal / Tax / Regional Finance,Required before benefit recognition,Open
VG03,"Approved operating buffers, complete forecast/payment population, receipts, seasonality, settlement calendar, and extraordinary events",Cash release,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Approved operating buffers, complete forecast/payment population, receipts, seasonality, settlement calendar, and extraordinary events",Group Treasurer / Regional Finance,Required before benefit recognition,Open
VG04,"Transfer timing, facility use, borrowing rates, transfer charges, tax leakage, FX effects, and counterfactual funding action",Cash release,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Transfer timing, facility use, borrowing rates, transfer charges, tax leakage, FX effects, and counterfactual funding action",Group Treasurer / Finance,Required before benefit recognition,Open
VG05,"Finance-approved cash-release definition, value owner, measurement window, attribution rule, and realization evidence",Cash release,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Finance-approved cash-release definition, value owner, measurement window, attribution rule, and realization evidence",CFO / Finance,Required before benefit recognition,Open
VG06,"Local validation of purpose, receipts, direct debits, linked services, signatories, regulatory need, and continuity for each candidate",Annual P&L,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Local validation of purpose, receipts, direct debits, linked services, signatories, regulatory need, and continuity for each candidate",Regional Finance / Treasury,Required before benefit recognition,Open
VG07,"Actual bank invoice, closure cost, closure completion, fee removal, measurement period, and Finance recognition",Annual P&L,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Actual bank invoice, closure cost, closure completion, fee removal, measurement period, and Finance recognition",Treasury / Finance,Required before benefit recognition,Open
VG08,Source-population reconciliation and comparable process/payment scope before any baselines are combined,Capacity,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,Source-population reconciliation and comparable process/payment scope before any baselines are combined,Shared Services / Data owner,Required before benefit recognition,Open
VG09,"Observed time sample separating required control work, avoidable rework, demand displacement, and implementation effort",Capacity,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Observed time sample separating required control work, avoidable rework, demand displacement, and implementation effort",Shared Services / Controls,Required before benefit recognition,Open
VG10,"Sustained removal rate, named productive redeployment, no service or control degradation, and Finance-approved value treatment",Capacity,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Sustained removal rate, named productive redeployment, no service or control degradation, and Finance-approved value treatment",Shared Services Lead / Finance,Required before benefit recognition,Open
VG11,"Defined risk event, exposure population, incident/control-failure baseline, likelihood, severity, and loss history",Risk,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Defined risk event, exposure population, incident/control-failure baseline, likelihood, severity, and loss history",Management control owner,Required before benefit recognition,Open
VG12,"Finance-approved valuation method, attribution, confidence range, and evidence that the intervention changes exposure",Risk,N/A,N/A,N/A,Evidence gate,CLIENT / CONTROL EVIDENCE REQUIRED,Week 2 evidence gap retained into Week 3,0,High,"Finance-approved valuation method, attribution, confidence range, and evidence that the intervention changes exposure",Risk / Finance,Required before benefit recognition,Open
SA01,"The $21m/$35m/$46.2m amounts are 14-day liquidity screens, not validated movable cash",Cash release diagnostic scenarios,21000000,35000000,46200000,USD screening hypothesis,ANALYST-ASSUMPTION,"W2_liquidity_thresholds.csv; 14-day thresholds pass 168/168, 138/168, and 0/168 complete windows",0,High,Close VG01-VG05 at account level and obtain Finance approval,Group Treasurer / Finance,No cash value or movement before certification,Open — screen reconciled; value unvalidated
SA02,Only 2/4/4 of the four closure-validation candidates are used in downside/base/upside; ten closures remain unsupported,Annual P&L diagnostic scenarios,2,4,4,validation candidates,ANALYST-ASSUMPTION,W2_account_diagnostic.csv; four narrow-screen candidates,0,High,Close VG06-VG07 for each account,Treasury / Regional Finance / Finance,No closure or P&L until local and invoice validation,Open — candidates only
SA03,"$3,900 is an independent 50% × $7,800 portfolio sensitivity, not the fee sum for whichever two candidates validate; the base/upside $7,800 is the full four-candidate estimate",Annual P&L diagnostic scenarios,3900,7800,7800,USD/year fee sensitivity,ANALYST-CALC / ANALYST-ASSUMPTION,"Independent 50%/100%/100% sensitivities on the Week 2 $7,800 portfolio; actual fees for any two evidenced candidates range from $1,800 to $6,000",0,High,"Validate invoices, closure cost, and actual fee removal",Treasury / Finance,Finance recognition after evidenced removal,Open — arithmetic only
SA04,"50/150/150 hours per month represent productive-capacity hypotheses, not labor removal or monetary savings",Capacity diagnostic scenarios,50,150,150,hours/month hypothesis,ANALYST-ASSUMPTION,Manager downside and Week 2 target against a 617.72-hour management-estimated process screen,0,High,Close VG08-VG10 through observation and redeployment evidence,Shared Services Lead / Finance,No P&L or headcount claim before Finance approval,Open — hypothesis only
