scenario_order,scenario_id,scenario_name,scenario_purpose,option_order,option_id,option_name,weight_evidence_fit_pct,weight_control_resilience_pct,weight_feasibility_speed_pct,weight_local_adaptability_pct,weight_data_technology_scalability_pct,weight_value_economics_pct,weight_reversibility_learning_pct,hard_gate_result,total_weighted_score_0_to_100,weight_lock_version,evidence_boundary,rank,scenario_winner
1,balanced_base,Balanced base,Committed Week 3 design-principle weights,1,local_stabilization,Local stabilization,20,20,20,15,10,10,5,PASS — eligible for design scoring; execution gates open,72.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",2,False
1,balanced_base,Balanced base,Committed Week 3 design-principle weights,2,federated_coordination,Federated coordination,20,20,20,15,10,10,5,PASS — eligible for design scoring; execution gates open,87.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",1,True
1,balanced_base,Balanced base,Committed Week 3 design-principle weights,3,globally_coordinated,Globally coordinated,20,20,20,15,10,10,5,PASS — eligible for design scoring; execution gates open,60.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",3,False
2,controls_first,Controls first,"Tests a stronger preference for control, resilience, and reversibility",1,local_stabilization,Local stabilization,15,30,15,10,10,10,10,PASS — eligible for design scoring; execution gates open,70.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",2,False
2,controls_first,Controls first,"Tests a stronger preference for control, resilience, and reversibility",2,federated_coordination,Federated coordination,15,30,15,10,10,10,10,PASS — eligible for design scoring; execution gates open,85.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",1,True
2,controls_first,Controls first,"Tests a stronger preference for control, resilience, and reversibility",3,globally_coordinated,Globally coordinated,15,30,15,10,10,10,10,PASS — eligible for design scoring; execution gates open,61.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",3,False
3,speed_first,Speed first,Tests a stronger preference for delivery speed under current constraints,1,local_stabilization,Local stabilization,15,20,30,10,5,10,10,PASS — eligible for design scoring; execution gates open,77.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",2,False
3,speed_first,Speed first,Tests a stronger preference for delivery speed under current constraints,2,federated_coordination,Federated coordination,15,20,30,10,5,10,10,PASS — eligible for design scoring; execution gates open,85.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",1,True
3,speed_first,Speed first,Tests a stronger preference for delivery speed under current constraints,3,globally_coordinated,Globally coordinated,15,20,30,10,5,10,10,PASS — eligible for design scoring; execution gates open,56.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",3,False
4,scale_value_first,Scale and value first,Tests a stronger preference for long-run scalability and value validation,1,local_stabilization,Local stabilization,15,15,10,10,25,20,5,PASS — eligible for design scoring; execution gates open,61.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",3,False
4,scale_value_first,Scale and value first,Tests a stronger preference for long-run scalability and value validation,2,federated_coordination,Federated coordination,15,15,10,10,25,20,5,PASS — eligible for design scoring; execution gates open,85.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",1,True
4,scale_value_first,Scale and value first,Tests a stronger preference for long-run scalability and value validation,3,globally_coordinated,Globally coordinated,15,15,10,10,25,20,5,PASS — eligible for design scoring; execution gates open,73.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",2,False
5,local_autonomy_first,Local autonomy first,Tests a stronger preference for local service and decision rights,1,local_stabilization,Local stabilization,15,20,15,30,5,10,5,PASS — eligible for design scoring; execution gates open,77.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",2,False
5,local_autonomy_first,Local autonomy first,Tests a stronger preference for local service and decision rights,2,federated_coordination,Federated coordination,15,20,15,30,5,10,5,PASS — eligible for design scoring; execution gates open,89.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",1,True
5,local_autonomy_first,Local autonomy first,Tests a stronger preference for local service and decision rights,3,globally_coordinated,Globally coordinated,15,20,15,30,5,10,5,PASS — eligible for design scoring; execution gates open,56.0,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",3,False
