scenario_date,account_id,entity_id,entity_name,region,country,currency,purpose,restricted_flag,reporting_delay_days,closing_balance_usd,available_balance_usd,positive_available_usd,supplied_payment_buffer_7d_usd,scenario_surplus_after_7d_buffer_usd,supplied_payment_buffer_14d_usd,scenario_surplus_after_14d_buffer_usd,evidence_label,decision_boundary
2026-06-30,AC0001,E001,Aurelius Group Holdings,NA,United States,USD,Operating,False,2,2655696.63,2578167.03,2578167.03,413364.45,2164802.5799999996,624608.53,1953558.4999999998,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0002,E001,Aurelius Group Holdings,NA,United States,USD,Collection,False,1,972230.11,897197.24,897197.24,0.0,897197.24,34683.2,862514.04,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0003,E001,Aurelius Group Holdings,NA,United States,USD,Payroll,True,0,360977.09,338342.91,338342.91,48753.66,0.0,326316.45999999996,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0004,E001,Aurelius Group Holdings,NA,United States,USD,Legacy,False,0,1770.61,1568.19,1568.19,0.0,1568.19,0.0,1568.19,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0005,E002,Aurelius Home US,NA,United States,USD,Operating,False,0,3136468.64,2886942.34,2886942.34,349472.53,2537469.8099999996,620842.28,2266100.0599999996,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0006,E002,Aurelius Home US,NA,United States,USD,Collection,False,0,3015221.85,2920407.47,2920407.47,13479.58,2906927.89,185048.14,2735359.33,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0007,E002,Aurelius Home US,NA,United States,USD,Payroll,True,0,883303.36,823520.45,823520.45,47740.34,0.0,108016.47,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0008,E002,Aurelius Home US,NA,United States,USD,Tax,True,1,670556.82,610367.38,610367.38,51550.9,0.0,65943.5,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0009,E002,Aurelius Home US,NA,United States,USD,Legacy,False,1,22090.08,21747.1,21747.1,0.0,21747.1,0.0,21747.1,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0010,E003,Aurelius Wellness US,NA,United States,USD,Operating,False,2,4439932.11,4302824.27,4302824.27,535346.15,3767478.1199999996,784323.51,3518500.76,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0011,E003,Aurelius Wellness US,NA,United States,USD,Collection,False,0,2245738.82,2118213.55,2118213.55,0.0,2118213.55,147092.26,1971121.2899999998,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0012,E003,Aurelius Wellness US,NA,United States,USD,Payroll,True,0,718956.02,664695.04,664695.04,6030.44,0.0,84534.01000000001,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0013,E003,Aurelius Wellness US,NA,United States,USD,Tax,True,0,743497.79,704724.07,704724.07,29447.61,0.0,41281.07,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0014,E004,Aurelius Canada,NA,Canada,CAD,Operating,False,0,718007.2844760324,688571.5338507355,688571.5338507355,257227.7855611905,431343.748289545,441514.3777108886,247057.1561398469,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0015,E004,Aurelius Canada,NA,Canada,CAD,Collection,False,2,1096432.609229564,1018869.3859868619,1018869.3859868619,4200.207843296999,1014669.1781435648,4200.207843296999,1014669.1781435648,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0016,E004,Aurelius Canada,NA,Canada,CAD,Payroll,True,2,421785.0709955424,392301.360025974,392301.360025974,13811.0269696186,0.0,40326.7423502734,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0017,E005,Aurelius UK,EMEA,United Kingdom,GBP,Operating,False,2,2503178.3760772836,2278795.340741417,2278795.340741417,536765.0405570085,1742030.3001844084,1594068.683560819,684726.657180598,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0018,E005,Aurelius UK,EMEA,United Kingdom,GBP,Collection,False,1,1949477.69890655,1737767.220091428,1737767.220091428,6669.102588253,1731098.1175031748,6669.102588253,1731098.1175031748,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0019,E005,Aurelius UK,EMEA,United Kingdom,GBP,Payroll,True,0,437736.692556406,392834.50138161296,392834.50138161296,16660.737861918,0.0,96312.6437551384,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0020,E005,Aurelius UK,EMEA,United Kingdom,GBP,Tax,True,0,409010.79364902095,373436.28276973503,373436.28276973503,45768.86888198351,0.0,45768.86888198351,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0021,E006,Aurelius Germany,EMEA,Germany,EUR,Operating,False,3,5804633.394376353,5556329.96466271,5556329.96466271,396976.7057222927,5159353.258940417,755159.5778667852,4801170.386795925,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0022,E006,Aurelius Germany,EMEA,Germany,EUR,Collection,False,1,2587896.810195093,2455452.2947181,2455452.2947181,8861.4281132379,2446590.8666048623,46516.5577875296,2408935.7369305706,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0023,E006,Aurelius Germany,EMEA,Germany,EUR,Payroll,True,0,680981.4640758628,639107.6808410002,639107.6808410002,128838.5675322207,0.0,170073.9642811502,0.0,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
2026-06-30,AC0024,E006,Aurelius Germany,EMEA,Germany,EUR,Legacy,False,0,9749.7283342692,9571.3963982055,9571.3963982055,0.0,9571.3963982055,0.0,9571.3963982055,ANALYST-CALC / ANALYST-ASSUMPTION,Uncertified screening windows do not separately validate complete cash needs; result is not movable cash
