date,entity_id,entity_name,region,account_count,positive_account_count,negative_account_count,gross_account_positive_available_usd,gross_account_negative_available_usd,entity_net_estimated_available_usd,within_entity_mixed_sign_flag,entity_net_deficit_flag,evidence_label,decision_boundary
2026-01-01,E001,Aurelius Group Holdings,NA,4,4,0,4008486.04,0.0,4008486.04,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E002,Aurelius Home US,NA,5,5,0,7465463.92,0.0,7465463.92,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E003,Aurelius Wellness US,NA,4,4,0,6327089.64,0.0,6327089.64,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E004,Aurelius Canada,NA,3,3,0,2415057.0310912635,0.0,2415057.0310912635,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E005,Aurelius UK,EMEA,4,4,0,5225994.952010909,0.0,5225994.952010909,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E006,Aurelius Germany,EMEA,4,4,0,7529175.308273213,0.0,7529175.308273213,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E007,Aurelius France,EMEA,3,2,1,1304874.682381728,-1212167.6577296145,92707.02465211344,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E008,Aurelius Netherlands,EMEA,3,3,0,6596324.26699273,0.0,6596324.26699273,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E009,Aurelius Spain,EMEA,3,3,0,3930284.339199344,0.0,3930284.339199344,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E010,Aurelius Singapore,APAC,4,3,1,1080821.0154598164,-1007116.49,73704.52545981636,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E011,Aurelius Australia,APAC,3,3,0,7400180.203951449,0.0,7400180.203951449,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E012,Aurelius Japan,APAC,3,3,0,499082.621005954,0.0,499082.621005954,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E013,Aurelius Korea,APAC,3,3,0,2876.862633348,0.0,2876.862633348,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E014,Aurelius India,APAC,3,3,0,530188.4783499663,0.0,530188.4783499663,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E015,Aurelius Hong Kong,APAC,3,3,0,507703.9892779428,0.0,507703.9892779428,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-01,E016,Aurelius Global Sourcing,APAC,3,3,0,2568386.66,0.0,2568386.66,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E001,Aurelius Group Holdings,NA,4,4,0,3868281.34,0.0,3868281.34,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E002,Aurelius Home US,NA,5,5,0,7759208.9,0.0,7759208.9,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E003,Aurelius Wellness US,NA,4,4,0,6402272.02,0.0,6402272.02,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E004,Aurelius Canada,NA,3,3,0,2306176.019117031,0.0,2306176.019117031,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E005,Aurelius UK,EMEA,4,4,0,4734359.328300947,0.0,4734359.328300947,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E006,Aurelius Germany,EMEA,4,4,0,9630498.77741975,0.0,9630498.77741975,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E007,Aurelius France,EMEA,3,2,1,1352877.0128679024,-1258836.0037052447,94041.0091626576,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E008,Aurelius Netherlands,EMEA,3,3,0,6070579.849918411,0.0,6070579.849918411,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E009,Aurelius Spain,EMEA,3,3,0,3576409.6631741733,0.0,3576409.6631741733,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E010,Aurelius Singapore,APAC,4,3,1,1225582.680489545,-821912.11,403670.5704895449,True,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E011,Aurelius Australia,APAC,3,3,0,7257404.512126018,0.0,7257404.512126018,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E012,Aurelius Japan,APAC,3,3,0,546223.2262424391,0.0,546223.2262424391,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E013,Aurelius Korea,APAC,3,3,0,3215.6052466710003,0.0,3215.6052466710003,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E014,Aurelius India,APAC,3,3,0,599112.8765126892,0.0,599112.8765126892,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E015,Aurelius Hong Kong,APAC,3,3,0,484279.93569585093,0.0,484279.93569585093,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-02,E016,Aurelius Global Sourcing,APAC,3,3,0,2682643.6399999997,0.0,2682643.6399999997,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E001,Aurelius Group Holdings,NA,4,4,0,3486630.26,0.0,3486630.26,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E002,Aurelius Home US,NA,5,5,0,8029151.16,0.0,8029151.16,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E003,Aurelius Wellness US,NA,4,4,0,7539303.56,0.0,7539303.56,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E004,Aurelius Canada,NA,3,3,0,2497117.446657472,0.0,2497117.446657472,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E005,Aurelius UK,EMEA,4,4,0,4865255.036568766,0.0,4865255.036568766,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
2026-01-03,E006,Aurelius Germany,EMEA,4,4,0,8297430.360812227,0.0,8297430.360812227,False,False,ANALYST-CALC,"Entity deficit is an estimated position, not evidence of facility use or avoidable funding cost"
