payment_id,payment_date,account_id,payment_type,currency,amount_local,cross_border_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status
P000046,2026-01-01,AC0051,ACH,HKD,69307.26,False,False,False,False,0,1.5,Completed
P000102,2026-01-01,AC0017,Local transfer,GBP,17625.1,False,False,False,False,0,1.5,Completed
P000365,2026-01-01,AC0041,Local transfer,JPY,8608.29,False,False,False,False,0,1.5,Completed
P000388,2026-01-01,AC0010,ACH,USD,53407.55,False,False,False,False,0,1.5,Completed
P000574,2026-01-01,AC0038,Local transfer,USD,8148.82,False,False,False,False,0,1.5,Completed
P000651,2026-01-01,AC0047,ACH,INR,50317.92,False,False,False,False,0,1.5,Completed
P000734,2026-01-01,AC0014,Wire,CAD,3517.42,True,False,False,False,0,43.5,Completed
P000774,2026-01-01,AC0001,ACH,USD,3115.08,False,True,False,False,0,1.5,Completed
P000795,2026-01-01,AC0031,Wire,USD,66498.8,True,True,False,False,0,43.5,Completed
P000919,2026-01-01,AC0034,ACH,USD,2247.25,False,True,False,False,0,1.5,Completed
P001100,2026-01-01,AC0021,Local transfer,EUR,12210.84,False,True,False,False,0,1.5,Completed
P001267,2026-01-01,AC0021,Tax,EUR,29842.86,False,False,False,False,0,1.5,Completed
P001452,2026-01-01,AC0041,ACH,JPY,13714.43,False,False,False,False,0,1.5,Completed
P001750,2026-01-01,AC0025,Local transfer,EUR,8358.68,False,False,False,False,0,1.5,Completed
P001902,2026-01-01,AC0017,Wire,GBP,4327.74,True,True,False,False,0,43.5,Completed
P001921,2026-01-01,AC0001,Internal transfer,USD,62451.7,False,True,False,False,0,1.5,Completed
P002009,2026-01-01,AC0031,Local transfer,USD,10066.81,False,False,False,False,0,1.5,Completed
P002178,2026-01-01,AC0050,Internal transfer,HKD,24763.39,False,False,False,False,0,1.5,Completed
P002196,2026-01-01,AC0041,Local transfer,JPY,11538.37,False,False,False,False,0,1.5,Completed
P002227,2026-01-01,AC0055,Local transfer,USD,50915.51,False,False,False,False,0,1.5,Completed
P002720,2026-01-01,AC0045,ACH,KRW,87286.27,False,True,False,False,0,1.5,Completed
P002750,2026-01-01,AC0001,ACH,USD,7322.14,False,False,False,False,0,1.5,Completed
P003016,2026-01-01,AC0046,Local transfer,KRW,16903.05,False,False,False,False,0,1.5,Completed
P003306,2026-01-01,AC0048,Local transfer,INR,3685.11,False,True,False,False,0,1.5,Completed
P003661,2026-01-01,AC0028,Local transfer,EUR,123373.9,False,False,False,False,0,1.5,Completed
P004069,2026-01-01,AC0041,Wire,JPY,307247.06,False,False,False,False,0,19.5,Completed
P004070,2026-01-01,AC0017,ACH,GBP,8672.91,False,True,False,True,0,1.5,Completed
P004095,2026-01-01,AC0014,ACH,CAD,6263.34,False,False,False,False,0,1.5,Completed
P004151,2026-01-01,AC0027,ACH,EUR,10277.03,False,False,False,False,0,1.5,Completed
P004217,2026-01-01,AC0021,Local transfer,EUR,32522.3,False,True,False,False,0,1.5,Completed
P004455,2026-01-01,AC0017,Wire,GBP,61801.79,True,True,False,False,0,43.5,Completed
P004798,2026-01-01,AC0055,Local transfer,USD,114858.6,False,False,False,False,0,1.5,Completed
P004814,2026-01-01,AC0025,Local transfer,EUR,3080.05,False,False,False,False,0,1.5,Completed
P004849,2026-01-01,AC0048,Local transfer,INR,3277.14,False,False,False,False,0,1.5,Completed
P005034,2026-01-01,AC0034,Local transfer,USD,13777.39,False,False,False,False,0,1.5,Completed
P005094,2026-01-01,AC0025,ACH,EUR,7839.56,False,True,False,False,0,1.5,Completed
P005359,2026-01-01,AC0028,Local transfer,EUR,9270.18,False,False,False,False,0,1.5,Completed
P006071,2026-01-01,AC0014,Internal transfer,CAD,6356.76,False,False,False,False,0,1.5,Completed
P006174,2026-01-01,AC0047,Local transfer,INR,44230.89,False,False,False,False,0,1.5,Completed
P006262,2026-01-01,AC0053,Internal transfer,USD,50231.32,False,True,False,False,0,1.5,Completed
P006386,2026-01-01,AC0010,Payroll,USD,153375.5,False,True,False,False,0,1.5,Completed
P006435,2026-01-01,AC0010,Internal transfer,USD,4728.71,False,True,False,False,0,1.5,Completed
P006461,2026-01-01,AC0022,Payroll,EUR,46050.82,False,False,False,False,0,1.5,Completed
P006730,2026-01-01,AC0044,Internal transfer,KRW,17113.62,False,False,False,False,0,1.5,Completed
P006792,2026-01-01,AC0027,Wire,EUR,9946.34,True,False,False,False,0,43.5,Completed
P006808,2026-01-01,AC0027,Local transfer,EUR,1578.92,False,False,False,False,0,1.5,Completed
P006866,2026-01-01,AC0017,Local transfer,GBP,34501.78,False,True,False,False,0,1.5,Completed
P007059,2026-01-01,AC0044,Local transfer,KRW,1989.37,False,True,False,False,0,1.5,Completed
P007102,2026-01-01,AC0026,Local transfer,USD,23196.62,False,True,False,False,0,1.5,Completed
P007152,2026-01-01,AC0022,Local transfer,EUR,2246.99,False,False,False,False,0,1.5,Completed
P007371,2026-01-01,AC0044,Local transfer,KRW,21413.68,False,False,False,False,0,1.5,Completed
P007515,2026-01-01,AC0053,Wire,USD,10088.6,False,True,False,False,0,19.5,Completed
P000172,2026-01-02,AC0012,Local transfer,USD,8823.21,False,True,False,False,0,1.5,Completed
P000189,2026-01-02,AC0053,Internal transfer,USD,25944.23,False,False,False,False,0,1.5,Completed
P000285,2026-01-02,AC0036,Internal transfer,SGD,8796.71,False,False,False,False,0,1.5,Completed
P000332,2026-01-02,AC0039,Wire,AUD,8046.87,False,False,False,False,0,19.5,Completed
P000362,2026-01-02,AC0034,Local transfer,USD,8867.92,False,True,False,False,0,1.5,Completed
P000379,2026-01-02,AC0038,Local transfer,USD,16515.54,False,False,False,False,0,1.5,Completed
P000402,2026-01-02,AC0010,ACH,USD,5019.91,False,False,False,False,0,1.5,Completed
P000403,2026-01-02,AC0034,Local transfer,USD,1562.22,False,False,False,False,0,1.5,Completed
P000426,2026-01-02,AC0041,ACH,JPY,22841.06,False,False,False,False,0,1.5,Completed
P000676,2026-01-02,AC0017,ACH,GBP,2575.27,False,False,False,False,0,1.5,Completed
P000683,2026-01-02,AC0003,ACH,USD,5758.43,False,False,False,False,0,1.5,Completed
P000700,2026-01-02,AC0050,Wire,HKD,29261.73,True,False,False,False,0,43.5,Completed
P000815,2026-01-02,AC0021,Local transfer,EUR,6049.87,False,False,False,False,0,1.5,Completed
P000988,2026-01-02,AC0033,Wire,EUR,8231.33,True,True,True,False,50,58.5,Rejected
P001062,2026-01-02,AC0053,ACH,USD,3449.8,False,False,False,False,0,1.5,Completed
P001177,2026-01-02,AC0034,Local transfer,USD,14978.05,False,False,False,False,0,1.5,Completed
P001211,2026-01-02,AC0050,Local transfer,HKD,20836.84,False,True,False,False,0,1.5,Completed
P001313,2026-01-02,AC0053,ACH,USD,14838.94,False,True,False,False,0,1.5,Completed
P001567,2026-01-02,AC0034,Local transfer,USD,7751.73,False,True,False,True,0,1.5,Completed
P001623,2026-01-02,AC0031,Local transfer,USD,24414.35,False,True,False,True,0,1.5,Completed
P001631,2026-01-02,AC0031,ACH,USD,8442.57,False,True,False,False,0,1.5,Completed
P001641,2026-01-02,AC0049,ACH,USD,65634.9,False,False,False,False,0,1.5,Completed
P001952,2026-01-02,AC0013,ACH,USD,14314.25,False,False,False,False,0,1.5,Completed
P001967,2026-01-02,AC0031,Local transfer,USD,8378.79,False,True,False,False,0,1.5,Completed
P002380,2026-01-02,AC0034,ACH,USD,2330.67,False,True,False,False,0,1.5,Completed
P002390,2026-01-02,AC0021,Wire,EUR,41565.71,False,False,False,False,0,19.5,Completed
P002530,2026-01-02,AC0030,ACH,USD,321055.88,False,False,False,False,0,1.5,Completed
P002704,2026-01-02,AC0017,ACH,GBP,89516.23,False,False,False,False,0,1.5,Completed
P002730,2026-01-02,AC0014,ACH,CAD,9961.99,False,True,False,False,0,1.5,Completed
P003145,2026-01-02,AC0047,Local transfer,INR,2552.64,False,True,False,False,0,1.5,Completed
P003146,2026-01-02,AC0050,Local transfer,HKD,44539.2,False,False,False,False,0,1.5,Completed
P003299,2026-01-02,AC0030,Internal transfer,USD,1292.53,False,False,False,False,0,1.5,Completed
P003323,2026-01-02,AC0017,ACH,GBP,17851.64,False,False,False,False,0,1.5,Completed
P003350,2026-01-02,AC0014,ACH,CAD,5527.93,False,False,False,False,0,1.5,Completed
P003532,2026-01-02,AC0050,Local transfer,HKD,4372.33,False,False,False,False,0,1.5,Completed
P003755,2026-01-02,AC0034,ACH,USD,36451.54,False,False,False,False,0,1.5,Completed
P003851,2026-01-02,AC0014,Wire,CAD,17237.98,False,False,False,False,0,19.5,Completed
P004024,2026-01-02,AC0039,Local transfer,AUD,915.0,False,False,False,False,0,1.5,Completed
P004110,2026-01-02,AC0047,Local transfer,INR,14994.44,False,False,False,False,0,1.5,Completed
P004183,2026-01-02,AC0007,Internal transfer,USD,5207.96,False,False,False,False,0,1.5,Completed
