control_id,process,control_objective,risk_addressed,proposed_control_activity,control_type,frequency_or_trigger,proposed_accountable_owner,proposed_operator,evidence_required,design_status,pilot_gate,stop_or_rollback_trigger,specialist_review,source_basis
CASH-01,"Cash visibility","Receive complete authentic balance records from an authoritative source by an approved cutoff","Late missing stale or unauthenticated balances create an unreliable enterprise position","Maintain an expected account-day schedule; authenticate the source; capture source receipt timestamp approved cutoff balance type owner and record status; retain late or missing records in the denominator and exception log","Preventive and detective","Each expected account-day","Group Treasurer","IT/Data or controlled local operator","Expected-population control total; source authentication; receipt timestamp; cutoff comparison; exception owner and resolution","Proposed; current dataset has reporting dates but no receipt timestamps or approved cutoff","Yes","No authoritative source owner controlled denominator or approved cutoff before launch","Data architecture; cybersecurity; Regional Finance","F07; DP-01; W2 data gate"
CASH-02,"Cash positioning","Ensure the enterprise position is complete reconciled versioned and decision-useful","Unexplained breaks or inconsistent balance definitions produce unsafe funding decisions","Reconcile source records to the position by account entity currency value date and balance type; classify every expected record as reconciled or formally explained; require approval for material breaks and definition changes","Detective","Daily before funding decision","Group Treasurer","Treasury operations with IT/Data and Regional Finance","Control totals; reconciliation results; break log; materiality rule; approver; position version","Proposed; materiality tolerance and controlled baseline are not approved","Yes","Defined material unexplained break; changed definition without decision-log approval","Accounting; data architecture","F07; DP-01; DP-07"
CASH-03,"Liquidity and mobility","Prevent estimated or locally required balances from being treated as transferable cash","Cash movement or value is approved without restriction buffer settlement legal tax service or economics evidence","Maintain account-level certification of restriction operating buffer local settlement requirements transfer timing permitted action economics effective date owner and review date; uncertified value contributes zero to funded mobility","Preventive","Before mobility value or movement decision and on certification expiry","Group Treasurer","Regional Finance with Legal/Tax and Finance input","Current certification; source evidence; approvals; buffer rationale; permitted action; review date","Proposed; validated movable cash remains zero established","Yes","Missing expired or disputed certification; local service or specialist objection","Legal; tax; regulatory; accounting","F08; DP-02; W2 mobility gate"
CASH-04,"Funding decision","Ensure funding instructions are authorized segregated and within approved limits","Unauthorized inaccurate or poorly evidenced transfer or funding instruction","Require documented rationale amount entity timing authority independent approval and local feasibility attestation before instruction; link the instruction to the approved daily position","Preventive","Each funding instruction","Group Treasurer","Authorized Treasury and Regional/Local Finance operators","Decision record; delegated authority; initiator and approver; local attestation; linked position; instruction","Proposed; approval limits and authority matrix require confirmation","Yes","Failed authority segregation local-right control or service test","Legal; tax; accounting; controls","DP-03; DP-05; CLIENT_BRIEF events"
CASH-05,"Cash execution","Confirm an approved funding action is executed recorded and reconciled","Instruction outcome is unknown or disconnected from accounting and the next position","Capture bank acknowledgement status or settlement evidence accounting reference exception and final reconciliation; prevent an unresolved item from being silently treated as complete","Detective","Each funding action until closed","Group Treasurer","Authorized local operator with Treasury operations","Bank acknowledgement; status/settlement evidence; accounting entry; reconciliation; exception closure","Proposed; no transfer or facility-use records are supplied","Yes","Missing acknowledgement; unresolved material status; accounting mismatch","Accounting; bank operations","W2 current-state execution gap; DP-07"
CASH-06,"Cash continuity","Protect critical obligations and local service through a controlled emergency funding path","Central coordination or outage delays payroll tax refunds critical suppliers or regulated obligations","Define criticality delegated emergency limits dual approval or approved compensating control contingency channel immediate notification full evidence capture post-event reconciliation and next-business-day review","Preventive and corrective","Approved emergency trigger or continuity event","Relevant BU or Regional Finance owner","Authorized local operator and approver","Criticality and rationale; authority; approvals; execution confirmation; compensating control; post-event review","Proposed; local emergency rights limits and evidence require approval and testing","Yes","Critical service failure; unapproved bypass; inability to restore the approved process within four hours","Legal; regulatory; controls; business continuity","DP-03; DP-06; stakeholder local-autonomy and service concerns"
PAY-01,"Payment intake","Ensure each payment request is authorized complete and traceable to source evidence","Incomplete invoice beneficiary entity or purpose data creates rework error or fraud exposure","Require approved intake fields and source documentation; validate requestor authority and master-data linkage; return or reason-code incomplete requests rather than silently completing them","Preventive","Each payment request","BU Finance or business process owner","Authorized requestor with Shared Services validation","Source document; required-field check; requestor authority; beneficiary and entity reference; exception reason","Proposed; required source fields and documents are not supplied","Yes","No source document authorized requestor or required critical field","Controls; data ownership","F09; DP-04; stakeholder payment claim"
PAY-02,"Payment cutoff and service","Apply approved calendars cutoffs criticality and local service rules consistently","Late release or an inappropriate standard route threatens service continuity","Classify due date criticality approved cutoff local calendar and exception path before approval; route urgent items through the controlled emergency process","Preventive","Each payment request and calendar change","Shared Services Lead","Shared Services with BU/Regional Finance input","Timestamp; approved cutoff; criticality; local calendar; exception or emergency approval","Proposed; timestamp baseline and critical-service definition are TBD","Yes","Critical payment risk; unapproved late or emergency classification; peak blackout conflict","Business continuity; Regional Finance","F09; DP-03; DP-06"
PAY-03,"Payment approval","Maintain delegated authority segregation of duties and complete approval evidence","Unauthorized or conflicted initiation approval release or repair","Enforce role separation approval limits independent approval and immutable change history across request file release repair and resubmission; define approved compensating control for emergency cases","Preventive","Each payment and material repair/resubmission","BU Finance or entity approver","Authorized approvers and Shared Services","User roles; approval matrix; initiator and approver; timestamps; change history; compensating control if used","Proposed; current approval practices vary and control effectiveness is untested","Yes","SoD authority or audit-trail failure","Controls; access governance","DP-05; stakeholder audit concern"
PAY-04,"Payment validation","Prevent duplicate prohibited invalid or misdirected payments before release","Duplicate sanctions beneficiary or master-data failure causes loss compliance or service harm","Apply duplicate beneficiary sanctions required-master and amount/currency validations using approved systems and escalation rules; evidence the result before release","Preventive","Each payment before release","Management control owner","Shared Services and approved systems","Validation results; exceptions; override authority and rationale; approval evidence","Proposed; tool rules tolerance and current evidence require specialist confirmation","Yes","Confirmed control failure or unapproved override","Compliance; sanctions; legal; controls","DP-05; W2 payment control gate"
PAY-05,"Payment submission","Ensure the approved request reconciles to the secure bank submission and acknowledgement","Format transmission or control-total failure creates rejection delay or duplicate submission","Reconcile source-to-file count and value; use an approved format and secure channel; capture bank acknowledgement; control retries and contingency submissions","Preventive and detective","Each file or instruction","Shared Services Lead","Shared Services with IT support","Source-to-file control totals; format validation; secure transmission log; acknowledgement; retry history","Proposed; source population and value are not certified","Yes","Unreconciled file absent acknowledgement transmission compromise or uncontrolled retry","Cybersecurity; bank operations; architecture","F09; DP-05; DP-08"
PAY-06,"Payment exception management","Ensure each exception repair and resubmission is reason-coded owned approved and resolved","Silent recycling obscures cause duplicates approval changes and capacity evidence","Record status reason root-cause category owner repair action timestamps approval resubmission and final outcome; review aged items and corrective actions by mutually exclusive cohort","Detective and corrective","Each exception and periodic backlog review","Shared Services Lead","Shared Services with requestor IT and bank support","Reason code; source link; owner; action; approval; timestamps; outcome; aged-item review","Proposed; reason codes events criticality and source links are not supplied","Yes","Critical/control exception; missing approval; source documents or required events cannot be linked","Controls; data ownership; bank operations","F09; DP-04; payment pilot design"
PAY-07,"Emergency payment","Preserve local responsiveness without creating an uncontrolled bypass","Urgent critical payment is delayed or emergency use weakens authorization and auditability","Limit emergency use to defined critical events; require delegated authority dual approval or approved compensating control secure channel confirmation immediate notification and post-event reconciliation/root-cause review","Preventive and corrective","Approved emergency trigger","Relevant BU Finance owner","Authorized local operator approver and Shared Services","Criticality; rationale; authority; approvals; submission and confirmation; compensating control; review","Proposed; procedure limits channels and tests require owner approval","Yes","No authorized approver or channel; control breach; critical service failure","Controls; business continuity; cybersecurity","DP-03; DP-06; stakeholder emergency concern"
TECH-01,"Identity and access","Limit access to authorized users and recertify privileges for standard and contingency processes","Excessive stale or conflicting access enables unauthorized action or weakens SoD","Maintain role-based least privilege joiner-mover-leaver control privileged-access monitoring and periodic management recertification; include emergency and fallback access","Preventive and detective","On access change and at approved periodic cadence","CIO or delegated access owner","IT access administration with business/control owner approval","Access request and approval; role mapping; SoD result; recertification; exception and remediation","Proposed; inconsistent recertification is a stakeholder observation and test evidence is absent","Yes","Unauthorized access failed recertification unresolved toxic combination or privileged misuse","Cybersecurity; controls","DP-05; stakeholder access concern"
