account_id,entity_id,entity_name,region,country,purpose,status,visibility_method,restricted_flag,sweep_structure,observed_days,negative_position_days,positive_position_days,longest_negative_run_days,average_available_usd,minimum_available_usd,maximum_available_usd,persistent_deficit_flag,evidence_label,decision_boundary
AC0001,E001,Aurelius Group Holdings,NA,United States,Operating,Active,Spreadsheet,False,Domestic sweep,181,0,181,0,2365483.81,1676033.19,3044880.12,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0002,E001,Aurelius Group Holdings,NA,United States,Collection,Active,Portal,False,None,181,0,181,0,920312.05,682305.48,1136870.33,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0003,E001,Aurelius Group Holdings,NA,United States,Payroll,Active,API,True,None,181,0,181,0,338475.67,239052.72,444419.55,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0004,E001,Aurelius Group Holdings,NA,United States,Legacy,Dormant,Host-to-host,False,None,181,0,179,0,1419.67,0.0,3044.6,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0005,E002,Aurelius Home US,NA,United States,Operating,Active,API,False,Domestic sweep,181,0,181,0,2774023.45,1975916.41,3523881.85,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0006,E002,Aurelius Home US,NA,United States,Collection,Active,Host-to-host,False,None,181,0,181,0,2924899.14,2083666.0,3857171.27,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0007,E002,Aurelius Home US,NA,United States,Payroll,Active,Host-to-host,True,None,181,0,181,0,1076659.27,807553.22,1407077.86,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0008,E002,Aurelius Home US,NA,United States,Tax,Active,Portal,True,None,181,0,181,0,733938.2,533669.04,947782.12,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0009,E002,Aurelius Home US,NA,United States,Legacy,Dormant,Portal,False,None,181,0,181,0,21333.38,19574.7,23579.3,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
AC0010,E003,Aurelius Wellness US,NA,United States,Operating,Active,Spreadsheet,False,Domestic sweep,181,0,181,0,3954949.61,2802168.51,5081070.08,False,ANALYST-CALC,"Negative estimate does not establish borrowing, overdraft, or avoidable interest"
