option_order,option_id,option_name,criterion_order,criterion_id,criterion,criterion_definition,principles,locked_weight_pct,score_1_to_5,score_rationale,evidence_anchor,evidence_confidence,evidence_label,weight_lock_version,evidence_boundary,hard_gate_result,weighted_points_0_to_100
1,local_stabilization,Local stabilization,1,evidence_fit,Evidence fit,How directly the option resolves the five Week 2 findings and creates controlled decision evidence without assuming a cause.,DP-01; DP-02; DP-04; DP-07,20,3,"Addresses the evidenced local reporting and payment gaps, but only partly resolves enterprise coordination.",F07–F11: observable gaps require one controlled decision chain.,Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,12.0
1,local_stabilization,Local stabilization,2,control_resilience,"Control, service, and resilience","Ability to preserve control integrity, service continuity, local emergency execution, resilience, and auditable rollback.",DP-03; DP-05; DP-06,20,3,"Limits concentration risk, but locally variable controls and ownership remain difficult to govern consistently.",F10 and stakeholder evidence: required controls and access practices remain unvalidated.,Low,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,12.0
1,local_stabilization,Local stabilization,3,feasibility_speed,"Feasibility, speed, and affordability","Practicality of demonstrating controlled progress within 12 months, working around current ERPs, and fitting the CFO's $1.0–$1.5m FY2026 initial transformation envelope.",DP-01; DP-04; DP-08,20,5,Requires the least organizational and integration change and is the most plausible fit to the initial funding envelope.,Client constraint: no major ERP replacement in 18 months; Inject 3 caps initial FY2026 investment at $1.0–$1.5m.,Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,20.0
1,local_stabilization,Local stabilization,4,local_adaptability,Local adaptability,"Ability to preserve documented regulatory, tax, settlement, service, and emergency rights across regions.",DP-02; DP-03; DP-06,15,5,"Retains local execution and is most adaptable to market-specific service, tax, and regulatory constraints.","APAC, BU Finance, and Audit concerns favor explicit local service and emergency rights.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,15.0
1,local_stabilization,Local stabilization,5,data_technology_scalability,Scalability and integration,"Ability to create reusable data/control interfaces across three ERP environments, acquisitions, and a retiring legacy platform.",DP-01; DP-07; DP-08,10,2,"Can standardize extracts, but repeated local fixes do not create a reusable enterprise integration model.","F07 and DP-08: 23 delayed sources are concentrated, while three ERP environments must remain.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,4.0
1,local_stabilization,Local stabilization,6,value_economics,Future value,"Potential to create and later validate cash, P&L, capacity, and risk value separately; not a current benefit, ROI, or funded-value amount.",DP-02; DP-04; DP-07,10,2,"May produce bounded local improvements, but it provides a weak path to validate enterprise liquidity or capacity economics.","F08, F10, and F11: mobility, removable capacity, and fee savings remain unvalidated.",Low,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,4.0
1,local_stabilization,Local stabilization,7,reversibility_learning,Reversibility and learning,"Ability to learn through bounded tests, retain exit paths, and reverse a later production change within the approved service standard.",DP-04; DP-06; DP-08,5,5,"Small, locally bounded changes provide the strongest near-term reversibility, though learning may not transfer automatically.","DP-04 and DP-06 require bounded tests, shared evidence, and an approved rollback path.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,5.0
2,federated_coordination,Federated coordination,1,evidence_fit,Evidence fit,How directly the option resolves the five Week 2 findings and creates controlled decision evidence without assuming a cause.,DP-01; DP-02; DP-04; DP-07,20,5,"Directly joins the source, ownership, control, regional-execution, and KPI gaps identified in Week 2.",F07–F11 and the Week 2 conclusion favor one data/control spine with defined local execution.,High,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,20.0
2,federated_coordination,Federated coordination,2,control_resilience,"Control, service, and resilience","Ability to preserve control integrity, service continuity, local emergency execution, resilience, and auditable rollback.",DP-03; DP-05; DP-06,20,4,"Combines global minimum controls with local emergency rights, but control-owner validation is still required.","DP-03, DP-05, and DP-06 make controls, service, resilience, and rollback non-compensating.",Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,16.0
2,federated_coordination,Federated coordination,3,feasibility_speed,"Feasibility, speed, and affordability","Practicality of demonstrating controlled progress within 12 months, working around current ERPs, and fitting the CFO's $1.0–$1.5m FY2026 initial transformation envelope.",DP-01; DP-04; DP-08,20,4,Supports staged interfaces and bounded pilots without ERP replacement; affordability remains conditional on a costed plan within the initial envelope.,F07 and CIO evidence support staged integration; Inject 3 limits initial FY2026 investment to $1.0–$1.5m.,Medium,ANALYST-JUDGMENT,W3-DP-v1 · 2026-08-18,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate.",PASS — eligible for design scoring; execution gates open,16.0
