control_record_id,control_name,control_rule,actual_result,test_result,visibility_rule_version,payment_rule_version,evidence_boundary
PC01,Week 2 population,"55 accounts / 9,955 account-days","55 / 9,955",PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC02,Week 2 visibility,"5,792 same-day proxy account-days / 23 delayed accounts","5,792 / 23",PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC03,Visibility cohort,10 unique locked accounts; 5 Spreadsheet and 5 Portal,10 unique; 5 / 5,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC04,Visibility coverage,3 regions / 3 ERPs / 4 banks,3 / 3 / 4,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC05,Visibility review treatment,"All 10 require readiness/control review; AC0040 alone is APAC, Payroll, restricted, shadow-only, and enhanced-review gated",All 10 reviewed; AC0040 also enhanced-review and shadow-only,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC06,Week 2 payments,"7,600 records / $198,135,489.50 intent / 20,080 repair minutes","7,600 / $198,135,489.50 / 20,080",PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC07,Week 2 priority union,"2,839 records / 356 exceptions / 14,939 repair minutes","2,839 / 356 / 14,939",PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC08,Payment sample,120 unique source records,120 rows / 120 unique,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC09,Cohort allocation,30 rows in each of four mutually exclusive cohorts,Manual touch only: 30; Manual touch + cross-border wire: 30; Cross-border wire only: 30; Neither priority cohort: 30,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC10,Case-control allocation,15 issues and 15 controls per cohort,Manual touch only: 15/15; Manual touch + cross-border wire: 15/15; Cross-border wire only: 15/15; Neither priority cohort: 15/15,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC11,Issue-mode allocation,Per cohort: 8 exception/status cases and 7 late-only cases,Manual touch only: 8/7; Manual touch + cross-border wire: 8/7; Cross-border wire only: 8/7; Neither priority cohort: 8/7,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC12,Issue and control eligibility,exception/status means exception OR Repaired/Rejected; late-only means late release without exception/status; controls are issue-flag-negative and supplied status Completed,32 exception/status; 28 late-only; all 60 controls flag-negative and Completed,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC13,Matching disclosure,Every pair records four match fields and all deviations,60 pairs; 50 exact,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
PC14,Evidence use,"Purposive root-cause review; not prevalence, causality, or benefit",Boundary present on every row,PASS,W3-VIS-PILOT-v2 · 2026-08-18,W3-PAY-PILOT-v3 · 2026-08-18,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
