control_record_id,control_type,option_id,option_name,control_name,control_rule,test_result,execution_evidence_status,model_effect,evidence_boundary
G01-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Authoritative data and metric ownership,"Named source/metric owners, definitions, lineage, reconciliation, and change control are explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G02-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Local rights and critical-service continuity,"Local legal, tax, settlement, service, peak-period, and emergency rights remain explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G03-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Control integrity and accountable ownership,"Required authorization, SoD, access, audit, duplicate, sanctions, and reconciliation controls remain designed and owned.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G04-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Resilience and rollback,A rehearsable prior-process fallback and later restoration within four hours are part of the design.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G05-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,ERP and architecture constraint,"The option works around three current ERPs, avoids major replacement, and identifies the retiring-platform exit path.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G06-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Affordability and accountable funding,The costed initial scope fits the CFO's $1.0–$1.5m FY2026 envelope; larger commitments require staged approval and demonstrated Wave 1 benefits.,PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G07-local_stabilization,NON_COMPENSATING_HARD_GATE,local_stabilization,Local stabilization,Evidence and funded-value discipline,"No screened cash, estimated fee, capacity, cause, closure, or external benchmark becomes an approved benefit by scoring.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G01-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Authoritative data and metric ownership,"Named source/metric owners, definitions, lineage, reconciliation, and change control are explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G02-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Local rights and critical-service continuity,"Local legal, tax, settlement, service, peak-period, and emergency rights remain explicit.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
G03-federated_coordination,NON_COMPENSATING_HARD_GATE,federated_coordination,Federated coordination,Control integrity and accountable ownership,"Required authorization, SoD, access, audit, duplicate, sanctions, and reconciliation controls remain designed and owned.",PASS — condition explicit; execution evidence open,Open — named client/control owner validation required,Eligible for scoring; execution still gated,"ANALYST-JUDGMENT for option comparison only; not client-approved, not an execution authorization, and not a business case or funded-benefit estimate."
