sample_order,case_control_pair_id,pair_sequence_within_cohort,sample_role,source_payment_id,paired_source_payment_id,priority_payment_cohort,issue_case_flag,issue_definition_hits,issue_mode,paired_issue_mode,issue_selection_rank,issue_mode_selection_rank,payment_date,month,account_id,entity_id,entity_name,region,country,bank_name,erp_system,purpose,visibility_method,payment_type,currency,amount_local,usd_per_unit,amount_usd,amount_band_usd,amount_band_order,cross_border_flag,cross_border_wire_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status,payment_type_match,region_match,month_match,amount_band_match,match_deviation_count,match_deviation_detail,amount_band_distance,month_distance,absolute_amount_gap_usd,match_quality,selection_rule_version,sample_purpose,evidence_label,decision_boundary
1,C1-01,1,Issue case,P003682,P003826,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,1,1,2026-02-26,2026-02,AC0003,E001,Aurelius Group Holdings,NA,United States,Meridian Commercial,Oracle-E1,Payroll,API,Internal transfer,USD,78061.26,1.0,78061.26,>$50k–$100k,4,False,False,True,True,False,74,16.5,Repaired,False,True,True,True,1,payment_type,0,0,637.67,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
2,C1-01,1,Non-issue control,P003826,P003682,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-02-13,2026-02,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Payroll,USD,77423.59,1.0,77423.59,>$50k–$100k,4,False,False,True,False,False,0,1.5,Completed,False,True,True,True,1,payment_type,0,0,637.67,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
3,C1-02,2,Issue case,P004271,P002291,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,2,2,2026-02-13,2026-02,AC0010,E003,Aurelius Wellness US,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Payroll,USD,19951.42,1.0,19951.42,>$10k–$25k,2,False,False,True,True,False,74,16.5,Repaired,True,True,True,True,0,none,0,0,2797.64,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
4,C1-02,2,Non-issue control,P002291,P004271,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-02-02,2026-02,AC0016,E004,Aurelius Canada,NA,Canada,Meridian Commercial,Oracle-E1,Payroll,Spreadsheet,Payroll,CAD,23252.65,0.73771288,17153.78,>$10k–$25k,2,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,2797.64,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
5,C1-03,3,Issue case,P003636,P005713,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,3,3,2026-06-17,2026-06,AC0033,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Payroll,Spreadsheet,Wire,EUR,4599.82,1.09279903,5026.68,≤$10k,1,False,False,True,True,False,74,34.5,Repaired,True,True,True,True,0,none,0,0,443.86,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
6,C1-03,3,Non-issue control,P005713,P003636,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-06-04,2026-06,AC0031,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Operating,Portal,Wire,USD,5470.54,1.0,5470.54,≤$10k,1,False,False,True,False,False,0,19.5,Completed,True,True,True,True,0,none,0,0,443.86,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
7,C1-04,4,Issue case,P006149,P003835,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,4,4,2026-04-02,2026-04,AC0047,E014,Aurelius India,APAC,India,Meridian Commercial,Legacy-D365,Operating,Spreadsheet,Local transfer,INR,8335.51,0.0117676,98.09,≤$10k,1,False,False,True,True,False,74,16.5,Repaired,True,True,True,True,0,none,0,0,19.61,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
8,C1-04,4,Non-issue control,P003835,P006149,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-04-15,2026-04,AC0047,E014,Aurelius India,APAC,India,Meridian Commercial,Legacy-D365,Operating,Spreadsheet,Local transfer,INR,6553.03,0.01197647,78.48,≤$10k,1,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,19.61,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
9,C1-05,5,Issue case,P005931,P006397,Manual touch only,True,exception_flag; status_repaired,Exception/status,Exception/status,5,5,2026-01-27,2026-01,AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Payroll,USD,23183.72,1.0,23183.72,>$10k–$25k,2,False,False,True,True,False,73,16.5,Repaired,False,True,True,True,1,payment_type,0,0,18.81,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
10,C1-05,5,Non-issue control,P006397,P005931,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-01-20,2026-01,AC0015,E004,Aurelius Canada,NA,Canada,Pacific Crown,Oracle-E1,Collection,Spreadsheet,Local transfer,CAD,31168.9,0.7432058,23164.91,>$10k–$25k,2,False,False,True,False,False,0,1.5,Completed,False,True,True,True,1,payment_type,0,0,18.81,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
11,C1-06,6,Issue case,P005290,P007140,Manual touch only,True,exception_flag; status_rejected,Exception/status,Exception/status,6,6,2026-05-22,2026-05,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,ACH,EUR,5573.26,1.09104102,6080.66,≤$10k,1,False,False,True,True,False,73,16.5,Rejected,True,True,True,True,0,none,0,0,556.93,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
12,C1-06,6,Non-issue control,P007140,P005290,Manual touch only,False,none,Non-issue control,Exception/status,0,0,2026-05-08,2026-05,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,ACH,GBP,4188.8,1.31869036,5523.73,≤$10k,1,False,False,True,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,556.93,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
